"","label","replace.by"
"42","Polymer Chemistry","Chemistry"
"43","JOURNAL OF MEDICINAL CHEMISTRY","Chemistry"
"44","LAB ON A CHIP","Chemistry"
"45","JOURNAL OF MEMBRANE SCIENCE","Chemistry"
"46","MACROMOLECULES","Chemistry"
"47","IUCrJ","Chemistry"
"48","Journal of Chemical Theory and Computation","Chemistry"
"49","Catalysis Science & Technology","Chemistry"
"50","ACS Sustainable Chemistry & Engineering","Chemistry"
"51","Annual Review of Chemical and Biomolecular Engineering","Chemistry"
"52","MICROCHIMICA ACTA","Chemistry"
"53","INORGANIC CHEMISTRY","Chemistry"
"54","ELECTROCHIMICA ACTA","Chemistry"
"55","JOURNAL OF ORGANIC CHEMISTRY","Chemistry"
"56","Journal of CO2 Utilization","Chemistry"
"57","SENSORS AND ACTUATORS B-CHEMICAL","Chemistry"
"58","PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS","Chemistry"
"59","ChemCatChem","Chemistry"
"60","ANALYTICA CHIMICA ACTA","Chemistry"
"61","Organic Chemistry Frontiers","Chemistry"
"62","MACROMOLECULAR RAPID COMMUNICATIONS","Chemistry"
"63","APPLIED SPECTROSCOPY REVIEWS","Chemistry"
"64","Chemistry-An Asian Journal","Chemistry"
"65","ELECTROCHEMISTRY COMMUNICATIONS","Chemistry"
"66","ULTRASONICS SONOCHEMISTRY","Chemistry"
"67","Topics in Organometallic Chemistry","Chemistry"
"68","Inorganic Chemistry Frontiers","Chemistry"
"69","Advances in Catalysis","Chemistry"
"70","BIOCONJUGATE CHEMISTRY","Chemistry"
"71","PHYSICAL CHEMISTRY CHEMICAL PHYSICS","Chemistry"
"72","CRYSTAL GROWTH & DESIGN","Chemistry"
"73","DESALINATION","Chemistry"
"74","CATALYSIS TODAY","Chemistry"
"75","PROGRESS IN INORGANIC CHEMISTRY","Chemistry"
"76","Advances in Inorganic Chemistry","Chemistry"
"77","CARBOHYDRATE POLYMERS","Chemistry"
"78","ORGANOMETALLICS","Chemistry"
"79","JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY","Chemistry"
"80","DALTON TRANSACTIONS","Chemistry"
"81","DYES AND PIGMENTS","Chemistry"
"82","TALANTA","Chemistry"
"83","ANALYST","Chemistry"
"84","Topics in Current Chemistry","Chemistry"
"85","APPLIED CATALYSIS A-GENERAL","Chemistry"
"86","LANGMUIR","Chemistry"
"87","JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL","Chemistry"
"88","JOURNAL OF CHROMATOGRAPHY A","Chemistry"
"89","EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY","Chemistry"
"90","MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY","Chemistry"
"91","CRYSTENGCOMM","Chemistry"
"92","FUEL PROCESSING TECHNOLOGY","Chemistry"
"93","JOURNAL OF COLLOID AND INTERFACE SCIENCE","Chemistry"
"94","RUSSIAN CHEMICAL REVIEWS","Chemistry"
"95","Journal of Chemical Information and Modeling","Chemistry"
"96","JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","Chemistry"
"97","JOURNAL OF COMPUTATIONAL CHEMISTRY","Chemistry"
"98","Arabian Journal of Chemistry","Chemistry"
"99","POLYMER","Chemistry"
"100","ChemistryOpen","Chemistry"
"101","Current Opinion in Chemical Engineering","Chemistry"
"102","FARADAY DISCUSSIONS","Chemistry"
"103","ChemElectroChem","Chemistry"
"104","EUROPEAN POLYMER JOURNAL","Chemistry"
"105","CHEMICAL RECORD","Chemistry"
"106","CATALYSIS COMMUNICATIONS","Chemistry"
"107","JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY","Chemistry"
"108","ACS Medicinal Chemistry Letters","Chemistry"
"109","Future Medicinal Chemistry","Chemistry"
"110","JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS","Chemistry"
"111","ACS Combinatorial Science","Chemistry"
"112","Advances in Heterocyclic Chemistry","Chemistry"
"113","SEPARATION AND PURIFICATION TECHNOLOGY","Chemistry"
"114","RSC Advances","Chemistry"
"115","SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY","Chemistry"
"116","NEW JOURNAL OF CHEMISTRY","Chemistry"
"117","Asian Journal of Organic Chemistry","Chemistry"
"118","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","Chemistry"
"119","JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN","Chemistry"
"120","JOURNAL OF PHYSICAL CHEMISTRY B","Chemistry"
"121","CHEMPHYSCHEM","Chemistry"
"122","ANALYTICAL AND BIOANALYTICAL CHEMISTRY","Chemistry"
"123","POLYMER DEGRADATION AND STABILITY","Chemistry"
"124","JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY","Chemistry"
"125","EUROPEAN JOURNAL OF ORGANIC CHEMISTRY","Chemistry"
"126","JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY","Chemistry"
"127","JOURNAL OF THE ELECTROCHEMICAL SOCIETY","Chemistry"
"128","AICHE JOURNAL","Chemistry"
"129","Express Polymer Letters","Chemistry"
"130","Catalysts","Chemistry"
"131","Polymers","Chemistry"
"132","BIOORGANIC & MEDICINAL CHEMISTRY","Chemistry"
"133","ORGANIC PROCESS RESEARCH & DEVELOPMENT","Chemistry"
"134","Environmental Chemistry Letters","Chemistry"
"135","CURRENT TOPICS IN MEDICINAL CHEMISTRY","Chemistry"
"136","MICROCHEMICAL JOURNAL","Chemistry"
"137","Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials","Chemistry"
"138","JOURNAL OF MAGNETIC RESONANCE","Chemistry"
"139","JOURNAL OF PHYSICAL CHEMISTRY A","Chemistry"
"140","ULTRAMICROSCOPY","Chemistry"
"141","JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER","Chemistry"
"142","Journal of the Taiwan Institute of Chemical Engineers","Chemistry"
"143","ChemPlusChem","Chemistry"
"144","JOURNAL OF ELECTROANALYTICAL CHEMISTRY","Chemistry"
"145","COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS","Chemistry"
"146","POWDER TECHNOLOGY","Chemistry"
"147","CHEMICAL ENGINEERING SCIENCE","Chemistry"
"148","JOURNAL OF SEPARATION SCIENCE","Chemistry"
"149","JOURNAL OF MOLECULAR LIQUIDS","Chemistry"
"150","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","Chemistry"
"151","REACTIVE & FUNCTIONAL POLYMERS","Chemistry"
"152","Plasma Processes and Polymers","Chemistry"
"153","Biomicrofluidics","Chemistry"
"154","Beilstein Journal of Organic Chemistry","Chemistry"
"155","JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES","Chemistry"
"156","EUROPEAN JOURNAL OF INORGANIC CHEMISTRY","Chemistry"
"157","CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY","Chemistry"
"158","SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY","Chemistry"
"159","SYNTHESIS-STUTTGART","Chemistry"
"160","TETRAHEDRON","Chemistry"
"161","CHINESE JOURNAL OF CATALYSIS","Chemistry"
"162","PURE AND APPLIED CHEMISTRY","Chemistry"
"163","COMPUTERS & CHEMICAL ENGINEERING","Chemistry"
"164","JOURNAL OF SUPERCRITICAL FLUIDS","Chemistry"
"165","JOURNAL OF APPLIED CRYSTALLOGRAPHY","Chemistry"
"166","INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH","Chemistry"
"167","Zeitschrift fur Kristallographie-Crystalline Materials","Chemistry"
"168","Chemistry Central Journal","Chemistry"
"169","JOURNAL OF MASS SPECTROMETRY","Chemistry"
"170","CHEMICAL ENGINEERING RESEARCH & DESIGN","Chemistry"
"171","JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY","Chemistry"
"172","MACROMOLECULAR CHEMISTRY AND PHYSICS","Chemistry"
"173","BIOORGANIC & MEDICINAL CHEMISTRY LETTERS","Chemistry"
"174","ELECTROPHORESIS","Chemistry"
"175","ADVANCED POWDER TECHNOLOGY","Chemistry"
"176","JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY","Chemistry"
"177","ELECTROANALYSIS","Chemistry"
"178","MOLECULES","Chemistry"
"179","APPLIED ORGANOMETALLIC CHEMISTRY","Chemistry"
"180","Methods and Applications in Fluorescence","Chemistry"
"181","Science China-Chemistry","Chemistry"
"182","ISRAEL JOURNAL OF CHEMISTRY","Chemistry"
"183","POLYMER INTERNATIONAL","Chemistry"
"184","JOURNAL OF RAMAN SPECTROSCOPY","Chemistry"
"185","CHEMICAL ENGINEERING & TECHNOLOGY","Chemistry"
"186","BIOPHYSICAL CHEMISTRY","Chemistry"
"187","TOPICS IN CATALYSIS","Chemistry"
"188","Electrocatalysis","Chemistry"
"189","TETRAHEDRON LETTERS","Chemistry"
"190","JOURNAL OF ORGANOMETALLIC CHEMISTRY","Chemistry"
"191","Acta Crystallographica A-Foundation and Advances","Chemistry"
"192","JOURNAL OF SOLID STATE ELECTROCHEMISTRY","Chemistry"
"193","SYNLETT","Chemistry"
"194","JOURNAL OF ANALYTICAL TOXICOLOGY","Chemistry"
"195","Journal of Energy Chemistry","Chemistry"
"196","CATALYSIS LETTERS","Chemistry"
"197","MACROMOLECULAR THEORY AND SIMULATIONS","Chemistry"
"198","JOURNAL OF AEROSOL SCIENCE","Chemistry"
"199","JOURNAL OF SOLID STATE CHEMISTRY","Chemistry"
"200","SOLID STATE NUCLEAR MAGNETIC RESONANCE","Chemistry"
"201","LIQUID CRYSTALS","Chemistry"
"202","RAPID COMMUNICATIONS IN MASS SPECTROMETRY","Chemistry"
"203","JOURNAL OF APPLIED ELECTROCHEMISTRY","Chemistry"
"204","JOURNAL OF BIOMOLECULAR SCREENING","Chemistry"
"205","CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","Chemistry"
"206","JOURNAL OF FLUORINE CHEMISTRY","Chemistry"
"207","JOURNAL OF CHEMICAL THERMODYNAMICS","Chemistry"
"208","JOURNAL OF MOLECULAR CATALYSIS B-ENZYMATIC","Chemistry"
"209","JOURNAL OF RARE EARTHS","Chemistry"
"210","INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY","Chemistry"
"211","INTERNATIONAL JOURNAL OF MASS SPECTROMETRY","Chemistry"
"212","REVIEWS IN CHEMICAL ENGINEERING","Chemistry"
"213","Plasmonics","Chemistry"
"214","CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY","Chemistry"
"215","POLYHEDRON","Chemistry"
"216","TETRAHEDRON-ASYMMETRY","Chemistry"
"217","JOURNAL OF CELLULAR PLASTICS","Chemistry"
"218","CURRENT ORGANIC SYNTHESIS","Chemistry"
"219","CATALYSIS SURVEYS FROM ASIA","Chemistry"
"220","SENSORS","Chemistry"
"221","CHIRALITY","Chemistry"
"222","Journal of Saudi Chemical Society","Chemistry"
"223","JOURNAL OF POLYMER RESEARCH","Chemistry"
"224","JOURNAL OF POLYMERS AND THE ENVIRONMENT","Chemistry"
"225","SOLVENT EXTRACTION AND ION EXCHANGE","Chemistry"
"226","ECS Electrochemistry Letters","Chemistry"
"227","AEROSOL SCIENCE AND TECHNOLOGY","Chemistry"
"228","Advances in Polymer Science","Chemistry"
"229","CURRENT ORGANIC CHEMISTRY","Chemistry"
"230","CHINESE CHEMICAL LETTERS","Chemistry"
"231","Journal of Flow Chemistry","Chemistry"
"232","THERMOCHIMICA ACTA","Chemistry"
"233","INORGANICA CHIMICA ACTA","Chemistry"
"234","Analytical Methods","Chemistry"
"235","SAR AND QSAR IN ENVIRONMENTAL RESEARCH","Chemistry"
"236","COLLOID AND POLYMER SCIENCE","Chemistry"
"237","JOURNAL OF CHEMOMETRICS","Chemistry"
"238","CHINESE JOURNAL OF CHEMISTRY","Chemistry"
"239","ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY","Chemistry"
"240","JOURNAL OF APPLIED POLYMER SCIENCE","Chemistry"
"241","CHEMICAL PHYSICS LETTERS","Chemistry"
"242","STRUCTURAL CHEMISTRY","Chemistry"
"243","JOURNAL OF SURFACTANTS AND DETERGENTS","Chemistry"
"244","FLUID PHASE EQUILIBRIA","Chemistry"
"245","ACTA CHIMICA SINICA","Chemistry"
"246","JOURNAL OF CHEMICAL AND ENGINEERING DATA","Chemistry"
"247","RESEARCH ON CHEMICAL INTERMEDIATES","Chemistry"
"248","POLYMERS FOR ADVANCED TECHNOLOGIES","Chemistry"
"249","CARBOHYDRATE RESEARCH","Chemistry"
"250","CHINESE JOURNAL OF POLYMER SCIENCE","Chemistry"
"251","PLASMA CHEMISTRY AND PLASMA PROCESSING","Chemistry"
"252","THEORETICAL CHEMISTRY ACCOUNTS","Chemistry"
"253","APPLIED SPECTROSCOPY","Chemistry"
"254","COMPTES RENDUS CHIMIE","Chemistry"
"255","JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","Chemistry"
"256","JOURNAL OF MOLECULAR STRUCTURE","Chemistry"
"257","Fuel Cells","Chemistry"
"258","INORGANIC CHEMISTRY COMMUNICATIONS","Chemistry"
"259","CHEMICAL PHYSICS","Chemistry"
"260","JOURNAL OF COORDINATION CHEMISTRY","Chemistry"
"261","Structure and Bonding","Chemistry"
"262","ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL","Chemistry"
"263","INTERNATIONAL JOURNAL OF CHEMICAL KINETICS","Chemistry"
"264","BIOMEDICAL CHROMATOGRAPHY","Chemistry"
"265","POLYMER SCIENCE SERIES C","Chemistry"
"266","POLYMER ENGINEERING AND SCIENCE","Chemistry"
"267","International Journal of Electrochemical Science","Chemistry"
"268","IRANIAN POLYMER JOURNAL","Chemistry"
"269","VIBRATIONAL SPECTROSCOPY","Chemistry"
"270","MOLECULAR SIMULATION","Chemistry"
"271","JOURNAL OF CLUSTER SCIENCE","Chemistry"
"272","TRANSPORT IN POROUS MEDIA","Chemistry"
"273","POLYMER JOURNAL","Chemistry"
"274","JOURNAL OF FLUORESCENCE","Chemistry"
"275","ATOMIC SPECTROSCOPY","Chemistry"
"276","JOURNAL OF MOLECULAR SPECTROSCOPY","Chemistry"
"277","PROPELLANTS EXPLOSIVES PYROTECHNICS","Chemistry"
"278","JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA","Chemistry"
"279","REVIEWS IN INORGANIC CHEMISTRY","Chemistry"
"280","CHEMISTRY LETTERS","Chemistry"
"281","INTERNATIONAL JOURNAL OF COSMETIC SCIENCE","Chemistry"
"282","JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS","Chemistry"
"283","Crystallography Reviews","Chemistry"
"284","INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION","Chemistry"
"285","JOURNAL OF PHYSICAL ORGANIC CHEMISTRY","Chemistry"
"286","Green Chemistry Letters and Reviews","Chemistry"
"287","POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING","Chemistry"
"288","DESIGNED MONOMERS AND POLYMERS","Chemistry"
"289","BIOINORGANIC CHEMISTRY AND APPLICATIONS","Chemistry"
"290","SUPRAMOLECULAR CHEMISTRY","Chemistry"
"291","TRANSITION METAL CHEMISTRY","Chemistry"
"292","JOURNAL OF CRYSTAL GROWTH","Chemistry"
"293","JOURNAL OF MOLECULAR MODELING","Chemistry"
"294","CHEMICAL ENGINEERING COMMUNICATIONS","Chemistry"
"295","AUSTRALIAN JOURNAL OF CHEMISTRY","Chemistry"
"296","JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES","Chemistry"
"297","KOREAN JOURNAL OF CHEMICAL ENGINEERING","Chemistry"
"298","MENDELEEV COMMUNICATIONS","Chemistry"
"299","Computational and Theoretical Chemistry","Chemistry"
"300","MINI-REVIEWS IN ORGANIC CHEMISTRY","Chemistry"
"301","REVIEWS IN ANALYTICAL CHEMISTRY","Chemistry"
"302","BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN","Chemistry"
"303","POLYMER BULLETIN","Chemistry"
"304","Journal of Analytical Methods in Chemistry","Chemistry"
"305","MACROMOLECULAR RESEARCH","Chemistry"
"306","REVIEW OF SCIENTIFIC INSTRUMENTS","Chemistry"
"307","CHROMATOGRAPHIA","Chemistry"
"308","CHEMICAL PAPERS","Chemistry"
"309","JOURNAL OF CHROMATOGRAPHIC SCIENCE","Chemistry"
"310","Journal of Instrumentation","Chemistry"
"311","CHINESE JOURNAL OF ORGANIC CHEMISTRY","Chemistry"
"312","Journal of Inorganic and Organometallic Polymers and Materials","Chemistry"
"313","SCANNING","Chemistry"
"314","Journal of the Iranian Chemical Society","Chemistry"
"315","EXCLI Journal","Chemistry"
"316","Green Processing and Synthesis","Chemistry"
"317","Advances in Physical Organic Chemistry","Chemistry"
"318","Central European Journal of Energetic Materials","Chemistry"
"319","Reaction Kinetics Mechanisms and Catalysis","Chemistry"
"320","ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE","Chemistry"
"321","JOURNAL OF SOLUTION CHEMISTRY","Chemistry"
"322","Macromolecular Reaction Engineering","Chemistry"
"323","JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY","Chemistry"
"324","Current Analytical Chemistry","Chemistry"
"325","CHEMICAL & PHARMACEUTICAL BULLETIN","Chemistry"
"326","MAGNETIC RESONANCE IN CHEMISTRY","Chemistry"
"327","JOURNAL OF CHEMICAL EDUCATION","Chemistry"
"328","CENTRAL EUROPEAN JOURNAL OF CHEMISTRY","Chemistry"
"329","CHINESE JOURNAL OF CHEMICAL ENGINEERING","Chemistry"
"330","HETEROATOM CHEMISTRY","Chemistry"
"331","ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS","Chemistry"
"332","ARKIVOC","Chemistry"
"333","ANALYTICAL SCIENCES","Chemistry"
"334","X-RAY SPECTROMETRY","Chemistry"
"335","Advances in Quantum Chemistry","Chemistry"
"336","ACTA CHIMICA SLOVENICA","Chemistry"
"337","MONATSHEFTE FUR CHEMIE","Chemistry"
"338","COLORATION TECHNOLOGY","Chemistry"
"339","JOURNAL OF NEAR INFRARED SPECTROSCOPY","Chemistry"
"340","ADVANCES IN POLYMER TECHNOLOGY","Chemistry"
"341","JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY","Chemistry"
"342","PHYSICS AND CHEMISTRY OF LIQUIDS","Chemistry"
"343","HETEROCYCLES","Chemistry"
"344","COMMENTS ON INORGANIC CHEMISTRY","Chemistry"
"345","RADIOCHIMICA ACTA","Chemistry"
"346","TURKISH JOURNAL OF CHEMISTRY","Chemistry"
"347","JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","Chemistry"
"348","ANALYTICAL LETTERS","Chemistry"
"349","HELVETICA CHIMICA ACTA","Chemistry"
"350","JOURNAL OF PORPHYRINS AND PHTHALOCYANINES","Chemistry"
"351","CHEMICAL RESEARCH IN CHINESE UNIVERSITIES","Chemistry"
"352","JOURNAL OF CHEMICAL SCIENCES","Chemistry"
"353","SEPARATION SCIENCE AND TECHNOLOGY","Chemistry"
"354","CANADIAN JOURNAL OF CHEMICAL ENGINEERING","Chemistry"
"355","SYNTHETIC COMMUNICATIONS","Chemistry"
"356","BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING","Chemistry"
"357","JOURNAL OF MATHEMATICAL CHEMISTRY","Chemistry"
"358","HIGH PERFORMANCE POLYMERS","Chemistry"
"359","Frontiers of Chemical Science and Engineering","Chemistry"
"360","COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING","Chemistry"
"361","EUROPEAN JOURNAL OF MASS SPECTROMETRY","Chemistry"
"362","ACCREDITATION AND QUALITY ASSURANCE","Chemistry"
"363","CANADIAN JOURNAL OF CHEMISTRY","Chemistry"
"364","CHIMIA","Chemistry"
"365","International Journal of Polymer Science","Chemistry"
"366","Journal of Chemistry","Chemistry"
"367","JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","Chemistry"
"368","JOURNAL OF THE SERBIAN CHEMICAL SOCIETY","Chemistry"
"369","Measurement Science Review","Chemistry"
"370","Journal of Macromolecular Science Part A-Pure and Applied Chemistry","Chemistry"
"371","POLYCYCLIC AROMATIC COMPOUNDS","Chemistry"
"372","REVISTA DE CHIMIE","Chemistry"
"373","INTERNATIONAL JOURNAL OF THERMOPHYSICS","Chemistry"
"374","Journal of Sulfur Chemistry","Chemistry"
"375","Revista Mexicana de Ingenieria Quimica","Chemistry"
"376","CRYSTAL RESEARCH AND TECHNOLOGY","Chemistry"
"377","Sensor Review","Chemistry"
"378","PROGRESS IN CHEMISTRY","Chemistry"
"379","ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES","Chemistry"
"380","SPECTROSCOPY LETTERS","Chemistry"
"381","APPLIED MAGNETIC RESONANCE","Chemistry"
"382","JOURNAL OF THE CHINESE CHEMICAL SOCIETY","Chemistry"
"383","RUBBER CHEMISTRY AND TECHNOLOGY","Chemistry"
"384","JOURNAL OF PHOTOPOLYMER SCIENCE AND TECHNOLOGY","Chemistry"
"385","COLOR RESEARCH AND APPLICATION","Chemistry"
"386","ACTA PHYSICO-CHIMICA SINICA","Chemistry"
"387","Advances in Chromatography","Chemistry"
"388","Journal of Experimental Nanoscience","Chemistry"
"389","HETEROCYCLIC COMMUNICATIONS","Chemistry"
"390","Chemistry of Heterocyclic Compounds","Chemistry"
"391","Journal of Spectroscopy","Chemistry"
"392","E-POLYMERS","Chemistry"
"393","FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES","Chemistry"
"394","Macroheterocycles","Chemistry"
"395","SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN","Chemistry"
"396","CHEMIE INGENIEUR TECHNIK","Chemistry"
"397","BULLETIN OF THE KOREAN CHEMICAL SOCIETY","Chemistry"
"398","CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE","Chemistry"
"399","ELECTROCHEMISTRY","Chemistry"
"400","COLLOID JOURNAL","Chemistry"
"401","POLYMER SCIENCE SERIES A","Chemistry"
"402","RUSSIAN JOURNAL OF ORGANIC CHEMISTRY","Chemistry"
"403","LETTERS IN ORGANIC CHEMISTRY","Chemistry"
"404","JOURNAL OF ADVANCED OXIDATION TECHNOLOGIES","Chemistry"
"405","JOURNAL OF CARBOHYDRATE CHEMISTRY","Chemistry"
"406","POLYMER SCIENCE SERIES B","Chemistry"
"407","CROATICA CHEMICA ACTA","Chemistry"
"408","INDIAN JOURNAL OF CHEMISTRY SECTION A-INORGANIC BIO-INORGANIC PHYSICAL THEORETICAL & ANALYTICAL CHEMISTRY","Chemistry"
"409","Asia-Pacific Journal of Chemical Engineering","Chemistry"
"410","PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS","Chemistry"
"411","Journal of the Mexican Chemical Society","Chemistry"
"412","International Journal of Analytical Chemistry","Chemistry"
"413","POLIMERY","Chemistry"
"414","PARTICULATE SCIENCE AND TECHNOLOGY","Chemistry"
"415","JOURNAL OF ANALYTICAL CHEMISTRY","Chemistry"
"416","RUSSIAN JOURNAL OF ELECTROCHEMISTRY","Chemistry"
"417","HIGH ENERGY CHEMISTRY","Chemistry"
"418","ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES","Chemistry"
"419","JOURNAL OF HETEROCYCLIC CHEMISTRY","Chemistry"
"420","TENSIDE SURFACTANTS DETERGENTS","Chemistry"
"421","CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY","Chemistry"
"422","JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES","Chemistry"
"423","SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE","Chemistry"
"424","JOURNAL OF CHEMICAL RESEARCH","Chemistry"
"425","RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY","Chemistry"
"426","RUSSIAN JOURNAL OF INORGANIC CHEMISTRY","Chemistry"
"427","OPTICS AND SPECTROSCOPY","Chemistry"
"428","DOKLADY PHYSICAL CHEMISTRY","Chemistry"
"429","Theoretical and Experimental Chemistry","Chemistry"
"430","ADSORPTION SCIENCE & TECHNOLOGY","Chemistry"
"431","KINETICS AND CATALYSIS","Chemistry"
"432","JOURNAL OF POLYMER ENGINEERING","Chemistry"
"433","BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA","Chemistry"
"434","Journal of Macromolecular Science Part B-Physics","Chemistry"
"435","JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY","Chemistry"
"436","Chemical Industry & Chemical Engineering Quarterly","Chemistry"
"437","QUIMICA NOVA","Chemistry"
"438","JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC","Chemistry"
"439","Russian Journal of Physical Chemistry A","Chemistry"
"440","CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING","Chemistry"
