"";"JCR.Abbreviated.Title";"Full.Journal.Title";"Issn";"Subject.Category";"Discipline.Scientifique.OST";"Origine";"Abreviation"
"46";"ACM T COMPUT LOG";"ACM TRANSACTIONS ON COMPUTATIONAL LOGIC";"1529-3785";"Computer Science, Theory & Methods";"Sciences pour l'Ingénieur";"SCIE";"EX"
"47";"ACM T COMPUT LOG";"ACM TRANSACTIONS ON COMPUTATIONAL LOGIC";"1529-3785";"Logic";"";"SCIE";"QL"
"48";"ACM T COMPUT SYST";"ACM TRANSACTIONS ON COMPUTER SYSTEMS";"0734-2071";"Computer Science, Theory & Methods";"Sciences pour l'Ingénieur";"SCIE";"EX"
"49";"ACM T COMPUT-HUM INT";"ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION";"1073-0516";"Computer Science, Cybernetics";"Sciences pour l'Ingénieur";"SCIE";"ER"
"50";"ACM T COMPUT-HUM INT";"ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION";"1073-0516";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"51";"ACM T DATABASE SYST";"ACM TRANSACTIONS ON DATABASE SYSTEMS";"0362-5915";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"52";"ACM T DATABASE SYST";"ACM TRANSACTIONS ON DATABASE SYSTEMS";"0362-5915";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"53";"ACM T DES AUTOMAT EL";"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS";"1084-4309";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"54";"ACM T DES AUTOMAT EL";"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS";"1084-4309";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"55";"ACM T EMBED COMPUT S";"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS";"1539-9087";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"56";"ACM T EMBED COMPUT S";"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS";"1539-9087";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"57";"ACM T GRAPHIC";"ACM TRANSACTIONS ON GRAPHICS";"0730-0301";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"58";"ACM T INFORM SYST";"ACM TRANSACTIONS ON INFORMATION SYSTEMS";"1046-8188";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"59";"ACM T INFORM SYST SE";"ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY";"1094-9224";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"60";"ACM T INTEL SYST TEC";"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY";"2157-6904";"Computer Science, Artificial Intelligence";"Sciences pour l'Ingénieur";"SCIE";"EP"
"61";"ACM T INTEL SYST TEC";"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY";"2157-6904";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"62";"ACM T INTERNET TECHN";"ACM TRANSACTIONS ON INTERNET TECHNOLOGY";"1533-5399";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"63";"ACM T INTERNET TECHN";"ACM TRANSACTIONS ON INTERNET TECHNOLOGY";"1533-5399";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"64";"ACM T KNOWL DISCOV D";"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA";"1556-4681";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"65";"ACM T KNOWL DISCOV D";"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA";"1556-4681";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"66";"ACM T MATH SOFTWARE";"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE";"0098-3500";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"67";"ACM T MATH SOFTWARE";"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE";"0098-3500";"Mathematics, Applied";"Mathématiques";"SCIE";"PN"
"68";"ACM T MODEL COMPUT S";"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION";"1049-3301";"Computer Science, Interdisciplinary Applications";"Sciences pour l'Ingénieur";"SCIE";"EV"
"69";"ACM T MODEL COMPUT S";"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION";"1049-3301";"Mathematics, Applied";"Mathématiques";"SCIE";"PN"
"70";"ACM T MULTIM COMPUT";"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS";"1551-6857";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"71";"ACM T MULTIM COMPUT";"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS";"1551-6857";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"72";"ACM T MULTIM COMPUT";"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS";"1551-6857";"Computer Science, Theory & Methods";"Sciences pour l'Ingénieur";"SCIE";"EX"
"73";"ACM T PRIV SECUR";"ACM TRANSACTIONS ON PRIVACY AND SECURITY";"2471-2566";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"74";"ACM T PROGR LANG SYS";"ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS";"0164-0925";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"75";"ACM T RECONFIG TECHN";"ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS";"1936-7406";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"76";"ACM T SENSOR NETWORK";"ACM TRANSACTIONS ON SENSOR NETWORKS";"1550-4859";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"77";"ACM T SENSOR NETWORK";"ACM TRANSACTIONS ON SENSOR NETWORKS";"1550-4859";"Telecommunications";"Sciences pour l'Ingénieur";"SCIE";"YE"
"78";"ACM T SOFTW ENG METH";"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY";"1049-331X";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"79";"ACM T STORAGE";"ACM TRANSACTIONS ON STORAGE";"1553-3077";"Computer Science, Hardware & Architecture";"Sciences pour l'Ingénieur";"SCIE";"ES"
"80";"ACM T STORAGE";"ACM TRANSACTIONS ON STORAGE";"1553-3077";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"81";"ACM T WEB";"ACM TRANSACTIONS ON THE WEB";"1559-1131";"Computer Science, Information Systems";"Sciences pour l'Ingénieur";"SCIE";"ET"
"82";"ACM T WEB";"ACM TRANSACTIONS ON THE WEB";"1559-1131";"Computer Science, Software Engineering";"Sciences pour l'Ingénieur";"SCIE";"EW"
"83";"ACOUST AUST";"ACOUSTICS AUSTRALIA";"0814-6039";"Acoustics";"Physique";"SCIE";"AA"
"84";"ACOUST PHYS+";"ACOUSTICAL PHYSICS";"1063-7710";"Acoustics";"Physique";"SCIE";"AA"
"85";"ACS APPL MATER INTER";"ACS APPLIED MATERIALS & INTERFACES";"1944-8244";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"86";"ACS APPL MATER INTER";"ACS APPLIED MATERIALS & INTERFACES";"1944-8244";"Nanoscience & Nanotechnology";"Multidisciplinaire";"SCIE";"NS"
"87";"ACS BIOMATER SCI ENG";"ACS BIOMATERIALS SCIENCE & ENGINEERING";"2373-9878";"Materials Science, Biomaterials";"Biologie Fondamentale";"SCIE";"QE"
"88";"ACS CATAL";"ACS CATALYSIS";"2155-5435";"Chemistry, Physical";"Chimie";"SCIE";"EI"
"89";"ACS CENTRAL SCI";"ACS CENTRAL SCIENCE";"2374-7943";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"90";"ACS CHEM BIOL";"ACS CHEMICAL BIOLOGY";"1554-8929";"Biochemistry & Molecular Biology";"Biologie Fondamentale";"SCIE";"CQ"
"91";"ACS CHEM NEUROSCI";"ACS CHEMICAL NEUROSCIENCE";"1948-7193";"Biochemistry & Molecular Biology";"Biologie Fondamentale";"SCIE";"CQ"
"92";"ACS CHEM NEUROSCI";"ACS CHEMICAL NEUROSCIENCE";"1948-7193";"Chemistry, Medicinal";"Recherche Médicale";"SCIE";"DX"
"93";"ACS CHEM NEUROSCI";"ACS CHEMICAL NEUROSCIENCE";"1948-7193";"Neurosciences";"Biologie Fondamentale";"SCIE";"RU"
"94";"ACS COMB SCI";"ACS COMBINATORIAL SCIENCE";"2156-8952";"Chemistry, Applied";"Chimie";"SCIE";"DW"
"95";"ACS COMB SCI";"ACS COMBINATORIAL SCIENCE";"2156-8952";"Chemistry, Medicinal";"Recherche Médicale";"SCIE";"DX"
"96";"ACS COMB SCI";"ACS COMBINATORIAL SCIENCE";"2156-8952";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"97";"ACS EARTH SPACE CHEM";"ACS EARTH AND SPACE CHEMISTRY";"2472-3452";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"98";"ACS EARTH SPACE CHEM";"ACS EARTH AND SPACE CHEMISTRY";"2472-3452";"Geochemistry & Geophysics";"Sciences de l'Univers";"SCIE";"GC"
"99";"ACS ENERGY LETT";"ACS ENERGY LETTERS";"2380-8195";"Chemistry, Physical";"Chimie";"SCIE";"EI"
"100";"ACS ENERGY LETT";"ACS ENERGY LETTERS";"2380-8195";"Electrochemistry";"Chimie";"SCIE";"HQ"
"101";"ACS ENERGY LETT";"ACS ENERGY LETTERS";"2380-8195";"Energy & Fuels";"Sciences pour l'Ingénieur";"SCIE";"ID"
"102";"ACS ENERGY LETT";"ACS ENERGY LETTERS";"2380-8195";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"103";"ACS ENERGY LETT";"ACS ENERGY LETTERS";"2380-8195";"Nanoscience & Nanotechnology";"Multidisciplinaire";"SCIE";"NS"
"104";"ACS INFECT DIS";"ACS INFECTIOUS DISEASES";"2373-8227";"Chemistry, Medicinal";"Recherche Médicale";"SCIE";"DX"
"105";"ACS INFECT DIS";"ACS INFECTIOUS DISEASES";"2373-8227";"Infectious Diseases";"Recherche Médicale";"SCIE";"NN"
"106";"ACS MACRO LETT";"ACS MACRO LETTERS";"****-****";"Polymer Science";"Chimie";"SCIE";"UY"
"107";"ACS MED CHEM LETT";"ACS MEDICINAL CHEMISTRY LETTERS";"1948-5875";"Chemistry, Medicinal";"Recherche Médicale";"SCIE";"DX"
"108";"ACS NANO";"ACS NANO";"1936-0851";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"109";"ACS NANO";"ACS NANO";"1936-0851";"Chemistry, Physical";"Chimie";"SCIE";"EI"
"110";"ACS NANO";"ACS NANO";"1936-0851";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"111";"ACS NANO";"ACS NANO";"1936-0851";"Nanoscience & Nanotechnology";"Multidisciplinaire";"SCIE";"NS"
"112";"ACS OMEGA";"ACS OMEGA";"2470-1343";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"113";"ACS PHOTONICS";"ACS PHOTONICS";"2330-4022";"Materials Science, Multidisciplinary";"Chimie";"SCIE";"PM"
"114";"ACS PHOTONICS";"ACS PHOTONICS";"2330-4022";"Nanoscience & Nanotechnology";"Multidisciplinaire";"SCIE";"NS"
"115";"ACS PHOTONICS";"ACS PHOTONICS";"2330-4022";"Optics";"Physique";"SCIE";"SY"
"116";"ACS PHOTONICS";"ACS PHOTONICS";"2330-4022";"Physics, Applied";"Physique";"SCIE";"UB"
"117";"ACS PHOTONICS";"ACS PHOTONICS";"2330-4022";"Physics, Condensed Matter";"Physique";"SCIE";"UK"
"118";"ACS SENSORS";"ACS SENSORS";"2379-3694";"Chemistry, Analytical";"Chimie";"SCIE";"EA"
"119";"ACS SENSORS";"ACS SENSORS";"2379-3694";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"120";"ACS SENSORS";"ACS SENSORS";"2379-3694";"Nanoscience & Nanotechnology";"Multidisciplinaire";"SCIE";"NS"
"121";"ACS SUSTAIN CHEM ENG";"ACS SUSTAINABLE CHEMISTRY & ENGINEERING";"2168-0485";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"122";"ACS SUSTAIN CHEM ENG";"ACS SUSTAINABLE CHEMISTRY & ENGINEERING";"2168-0485";"Engineering, Chemical";"Sciences pour l'Ingénieur";"SCIE";"II"
"123";"ACS SUSTAIN CHEM ENG";"ACS SUSTAINABLE CHEMISTRY & ENGINEERING";"2168-0485";"Green & Sustainable Science & Technology";"Sciences pour l'Ingénieur";"SCIE";"GS"
"124";"ACS SYNTH BIOL";"ACS SYNTHETIC BIOLOGY";"2161-5063";"Biochemical Research Methods";"Biologie Fondamentale";"SCIE";"CO"
"125";"ACSMS HEALTH FIT J";"ACSMS HEALTH & FITNESS JOURNAL";"1091-5397";"Sport Sciences";"Recherche Médicale";"SCIE";"XW"
"126";"ACTA ACUST UNITED AC";"ACTA ACUSTICA UNITED WITH ACUSTICA";"1610-1928";"Acoustics";"Physique";"SCIE";"AA"
"127";"ACTA ADRIAT";"ACTA ADRIATICA";"0001-5113";"Marine & Freshwater Biology";"Sciences de l'Univers";"SCIE";"PI"
"128";"ACTA ADRIAT";"ACTA ADRIATICA";"0001-5113";"Oceanography";"Sciences de l'Univers";"SCIE";"SI"
"129";"ACTA AGR SCAND A-AN";"ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE";"0906-4702";"Agriculture, Dairy & Animal Science";"Biologie Appliquée-Ecologie";"SCIE";"AD"
"130";"ACTA AGR SCAND B-S P";"ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE";"0906-4710";"Agronomy";"Biologie Appliquée-Ecologie";"SCIE";"AM"
"131";"ACTA AGR SCAND B-S P";"ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE";"0906-4710";"Soil Science";"Biologie Appliquée-Ecologie";"SCIE";"XE"
"132";"ACTA ALIMENT HUNG";"ACTA ALIMENTARIA";"0139-3006";"Food Science & Technology";"Biologie Appliquée-Ecologie";"SCIE";"JY"
"133";"ACTA ALIMENT HUNG";"ACTA ALIMENTARIA";"0139-3006";"Nutrition & Dietetics";"Biologie Fondamentale";"SCIE";"SA"
"134";"ACTA AMAZON";"ACTA AMAZONICA";"0044-5967";"Ecology";"Biologie Appliquée-Ecologie";"SCIE";"GU"
"135";"ACTA AMAZON";"ACTA AMAZONICA";"0044-5967";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"136";"ACTA AMAZON";"ACTA AMAZONICA";"0044-5967";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"137";"ACTA ANAESTH SCAND";"ACTA ANAESTHESIOLOGICA SCANDINAVICA";"0001-5172";"Anesthesiology";"Recherche Médicale";"SCIE";"BA"
"138";"ACTA APPL MATH";"ACTA APPLICANDAE MATHEMATICAE";"0167-8019";"Mathematics, Applied";"Mathématiques";"SCIE";"PN"
"139";"ACTA ARITH";"ACTA ARITHMETICA";"0065-1036";"Mathematics";"Mathématiques";"SCIE";"PQ"
"140";"ACTA ASTRONAUT";"ACTA ASTRONAUTICA";"0094-5765";"Engineering, Aerospace";"Sciences pour l'Ingénieur";"SCIE";"AI"
"141";"ACTA ASTRONOM";"ACTA ASTRONOMICA";"0001-5237";"Astronomy & Astrophysics";"Sciences de l'Univers";"SCIE";"BU"
"142";"ACTA BIOCH BIOPH SIN";"ACTA BIOCHIMICA ET BIOPHYSICA SINICA";"1672-9145";"Biochemistry & Molecular Biology";"Biologie Fondamentale";"SCIE";"CQ"
"143";"ACTA BIOCH BIOPH SIN";"ACTA BIOCHIMICA ET BIOPHYSICA SINICA";"1672-9145";"Biophysics";"Biologie Fondamentale";"SCIE";"DA"
"144";"ACTA BIOCHIM POL";"ACTA BIOCHIMICA POLONICA";"0001-527X";"Biochemistry & Molecular Biology";"Biologie Fondamentale";"SCIE";"CQ"
"145";"ACTA BIOENG BIOMECH";"ACTA OF BIOENGINEERING AND BIOMECHANICS";"1509-409X";"Biophysics";"Biologie Fondamentale";"SCIE";"DA"
"146";"ACTA BIOENG BIOMECH";"ACTA OF BIOENGINEERING AND BIOMECHANICS";"1509-409X";"Engineering, Biomedical";"Biologie Fondamentale";"SCIE";"IG"
"147";"ACTA BIOETH";"ACTA BIOETHICA";"1726-569X";"Medical Ethics";"Recherche Médicale";"SCIE";"OO"
"148";"ACTA BIOL COLOMB";"ACTA BIOLOGICA COLOMBIANA";"1900-1649";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"149";"ACTA BIOL COLOMB";"ACTA BIOLOGICA COLOMBIANA";"1900-1649";"Zoology";"Biologie Appliquée-Ecologie";"SCIE";"ZM"
"150";"ACTA BIOL CRACOV BOT";"ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA";"0001-5296";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"151";"ACTA BIOL HUNG";"ACTA BIOLOGICA HUNGARICA";"0236-5383";"Biology";"Biologie Appliquée-Ecologie";"SCIE";"CU"
"152";"ACTA BIOMATER";"ACTA BIOMATERIALIA";"1742-7061";"Engineering, Biomedical";"Biologie Fondamentale";"SCIE";"IG"
"153";"ACTA BIOMATER";"ACTA BIOMATERIALIA";"1742-7061";"Materials Science, Biomaterials";"Biologie Fondamentale";"SCIE";"QE"
"154";"ACTA BIOQUIM CLIN L";"ACTA BIOQUIMICA CLINICA LATINOAMERICANA";"0325-2957";"Medical Laboratory Technology";"Biologie Fondamentale";"SCIE";"PW"
"155";"ACTA BIOTHEOR";"ACTA BIOTHEORETICA";"0001-5342";"Mathematical & Computational Biology";"Biologie Fondamentale";"SCIE";"MC"
"156";"ACTA BOT BRAS";"ACTA BOTANICA BRASILICA";"0102-3306";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"157";"ACTA BOT CROAT";"ACTA BOTANICA CROATICA";"0365-0588";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"158";"ACTA BOT MEX";"ACTA BOTANICA MEXICANA";"0187-7151";"Plant Sciences";"Biologie Appliquée-Ecologie";"SCIE";"DE"
"159";"ACTA CARDIOL";"ACTA CARDIOLOGICA";"0001-5385";"Cardiac & Cardiovascular Systems";"Recherche Médicale";"SCIE";"DQ"
"160";"ACTA CARDIOL SIN";"ACTA CARDIOLOGICA SINICA";"1011-6842";"Cardiac & Cardiovascular Systems";"Recherche Médicale";"SCIE";"DQ"
"161";"ACTA CARSOLOGICA";"ACTA CARSOLOGICA";"0583-6050";"Geosciences, Multidisciplinary";"Sciences de l'Univers";"SCIE";"LE"
"162";"ACTA CHIM SINICA";"ACTA CHIMICA SINICA";"0567-7351";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"163";"ACTA CHIM SLOV";"ACTA CHIMICA SLOVENICA";"1318-0207";"Chemistry, Multidisciplinary";"Chimie";"SCIE";"DY"
"164";"ACTA CHIR BELG";"ACTA CHIRURGICA BELGICA";"0001-5458";"Surgery";"Recherche Médicale";"SCIE";"YA"
