UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;
 ;JOURNAL OF MOLECULAR MEDICINE-JMM;NLRP7 IS INCREASED IN HUMAN IDIOPATHIC FETAL GROWTH RESTRICTION AND PLAYS A CRITICAL ROLE IN TROPHOBLAST DIFFERENTIATION;"ABI NAHED, R.;; REYNAUD, D.;; TRABOULSI, W.;; BROUILLET, S.;; ALFAIDY, NADIA";" INSERM, U1036, GRENOBLE, FRANCE.; ";
 ;FRONTIERS IN MICROBIOLOGY;STRUCTURAL AND FUNCTIONAL CHARACTERIZATION OF THE TYPE THREE SECRETION SYSTEM (T3SS) NEEDLE OF PSEUDOMONAS AERUGINOSA;"BOUILLOT, STEPHANIE; GEBUS, CAROLINE; LIEBL, DAVID; FAUDRY, ERIC; ATTREE, INA; JOB, VIVIANA";" UNIV GRENOBLE ALOES, BACTERIAL PATHOGENESIS & CELLULAR RESPONSES GRP, U1036 INSERM, ERL5261,CNRS,CEA, GRENOBLE, FRANCE.; ";
 ;GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY;MONITORING OF VISUAL FIELD OVER 6MONTHS AFTER ACTIVE OCULAR TOXOPLASMOSIS;"BOUILLET, L.;";" INSERM, UGA, CEA, CNRS,U1036,INST BIOSCI, GRENOBLE, FRANCE.;";
 ;PLACENTA;DISRUPTED PLACENTAL SEROTONIN SYNTHETIC PATHWAY AND INCREASED PLACENTAL SEROTONIN: POTENTIAL IMPLICATIONS IN THE PATHOGENESIS OF HUMAN FETAL GROWTH RESTRICTION;ALFAIDY, NADIA;" INSERM, U1036, GRENOBLE, FRANCE.; ";
 ;CELL CHEMICAL BIOLOGY;DESIGN ON A RATIONAL BASIS OF HIGH-AFFINITY PEPTIDES INHIBITING THE HISTONE CHAPERONE ASF1;"ROELANTS, CAROLINE; CHERRADI, NADIA";" INSERM, UNITE 1036, F-38000 GRENOBLE, FRANCE.; ";
 ;CELL PROLIFERATION;DELETION OF CK2 BETA GENE CAUSES GERM CELL DEVELOPMENT ARREST AND AZOOSPERMIA IN MALE MICE;FILHOL-COCHET, ODILE;" COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT GRE, INSERM U1036, INST RECH TECHNOL & SCI VIVANT BIOL CANC & INFECT, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF MEDICINAL CHEMISTRY;2-AMINOTHIAZOLE DERIVATIVES AS SELECTIVE ALLOSTERIC MODULATORS OF THE PROTEIN KINASE CK2. 1. IDENTIFICATION OF AN ALLOSTERIC BINDING SITE;"BESTGEN, BENOIT; COCHET, CLAUDE";" COMMISSARIAT ENERGIE ATOM, INST LIFE SCI RES & TECHNOL BIOL CANC & INFECT, F-38000 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF MEDICINAL CHEMISTRY;2-AMINOTHIAZOLE DERIVATIVES AS SELECTIVE ALLOSTERIC MODULATORS OF THE PROTEIN KINASE CK2. 2. STRUCTURE-BASED OPTIMIZATION AND INVESTIGATION OF EFFECTS SPECIFIC TO THE ALLOSTERIC MODE OF ACTION;"BESTGEN, BENOIT; FILHOL, ODILE; COCHET, CLAUDE";" COMMISSARIAT ENERGIE ATOM, INST LIFE SCI RES & TECHNOL BIOL CANC & INFECT, F-38000 GRENOBLE, FRANCE.; ";
 ;PLACENTA;DISRUPTED PLACENTAL SEROTONIN SYNTHETIC PATHWAY AND INCREASED PLACENTAL SEROTONIN: POTENTIAL IMPLICATIONS IN THE PATHOGENESIS OF HUMAN FETAL GROWTH RESTRICTION;ALFAIDY, NADIA;" CEA, IRTSV BIOL CANC & INFECT, GRENOBLE, FRANCE.; ";
 ;PRESSE MEDICALE;PREVALENCE AND CHARACTERISTICS OF SERUM AUTOANTIBODIES IN PATIENTS FOLLOWED FOR INFERTILITY AT GRENOBLE UNIVERSITY HOSPITAL;"BOUILLET, LAURENCE; ALFAIDY, NADIA; DEROUX, ALBAN";" CEA GRENOBLE, LAB BIOL CANC & INFECT, F-38000 GRENOBLE, FRANCE.;";
BIOSC-BGE                                                                  ;;;;;
 ;JOURNAL OF PROTEOME RESEARCH;DISTINGUISHING BETWEEN SPECTRAL CLUSTERING AND CLUSTER ANALYSIS OF MASS SPECTRA;"GUIBERT, ROMAIN; BURGER, THOMAS";" CNRS, BIG BGE, F-38000 GRENOBLE, FRANCE.;";
 ;FEBS JOURNAL;HYBRID CLUSTER PROTEINS IN A PHOTOSYNTHETIC MICROALGA;"BRUGIERE, SABINE; COUTE, YOHANN";" INSERM, BIG BGE, GRENOBLE, FRANCE.; ";
 ;JOURNAL OF PROTEOMICS;FIVE SIMPLE YET ESSENTIAL STEPS TO CORRECTLY ESTIMATE THE RATE OF FALSE DIFFERENTIALLY ABUNDANT PROTEINS IN MASS SPECTROMETRY ANALYSES;BURGER, THOMAS;" CNRS, BIG BGE, F-38000 GRENOBLE, FRANCE.;";
 ;JOINT BONE SPINE;IDENTIFICATION OF CARTILAGE OLIGOMERIC MATRIX PROTEIN AS BIOMARKER PREDICTING ABATACEPT RESPONSE IN RHEUMATOID ARTHRITIS PATIENTS WITH INSUFFICIENT RESPONSE TO A FIRST ANTI-TNF ALPHA TREATMENT;ADRAIT, ANNIE;" INSERM, U1038, F-38054 GRENOBLE, FRANCE.; ";
 ;PEDIATRIC BLOOD & CANCER;UNCOVERING SYMPATHO-ADRENAL MICROENVIRONMENTAL TRIGGERS OF NEUROBLASTOMA METASTATIC DISSEMINATION;"COUTE, Y.;";" UGA, CEA, INSERM, U1038,BIOSCI & BIOTECHNOL INST,GRENOBLE BIG,LAB B, GRENOBLE, FRANCE.;";
BIG;;;;;
 ;CHEMOSPHERE;IMPACT OF MATERNAL LOW-LEVEL CADMIUM EXPOSURE ON GLUCOSE AND LIPID METABOLISM OF THE LITTER AT DIFFERENT AGES AFTER WEANING;MOULIS, JEAN-MARC;" CEA DRF BIG, GRENOBLE, FRANCE.;";
 ;STEM CELL RESEARCH & THERAPY;HUMAN MESENCHYMAL STEM CELLS IMPROVE RAT ISLET FUNCTIONALITY UNDER CYTOKINE STRESS WITH COMBINED UPREGULATION OF HEME OXYGENASE-1 AND FERRITIN;MOULIS, JEAN-MARC;" CEA GRENOBLE, BIOSCI & BIOTECHNOL INST BIG, F-38054 GRENOBLE, FRANCE.;";
 ;ENVIRONMENTAL SCIENCE-NANO;THE FOOD ADDITIVE E171 AND TITANIUM DIOXIDE NANOPARTICLES INDIRECTLY ALTER THE HOMEOSTASIS OF HUMAN INTESTINAL EPITHELIAL CELLS IN VITRO;RABILLOUD, THIERRY;" CNRS, UMR 5249, CEA GRENOBLE, PROMD,DRF,BIG,CBM,LAB CHEM & BIOL MET, GRENOBLE, FRANCE.;";
 ;COMMUNICATIONS BIOLOGY;PLASTOQUINONE HOMOEOSTASIS BY ARABIDOPSIS PROTON GRADIENT REGULATION 6 IS ESSENTIAL FOR PHOTOSYNTHETIC EFFICIENCY;FINAZZI, GIOVANNI;" UGA, COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT CEA, INST BIOSCI & BIOTECHNOL GRENOBLE BIG,CNRS, CEA GRENOBLE,LAB PHYSIOL CELLULAIRE & VEGETALE,UM, F-38000 GRENOBLE, FRANCE.;";
 ;MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS;TOXICOLOGICAL IMPACT OF ACUTE EXPOSURE TO E171 FOOD ADDITIVE AND TIO2 NANOPARTICLES ON A CO-CULTURE OF CACO-2 AND HT29-MTX INTESTINAL CELLS;RABILLOUD, THIERRY;" CEA GRENOBLE, LAB CHEM & BIOL MET, PROMD, UMR CNRS 5249,DRF BIG CBM, F-38000 GRENOBLE, FRANCE.;";
 ;JOINT BONE SPINE;IDENTIFICATION OF CARTILAGE OLIGOMERIC MATRIX PROTEIN AS BIOMARKER PREDICTING ABATACEPT RESPONSE IN RHEUMATOID ARTHRITIS PATIENTS WITH INSUFFICIENT RESPONSE TO A FIRST ANTI-TNF ALPHA TREATMENT;ADRAIT, ANNIE;" CEA, BIOL GRANDE ECHELLE BIG, F-38054 GRENOBLE, FRANCE.; ";
 ;OCCUPATIONAL AND ENVIRONMENTAL MEDICINE;COPD, AIRFLOW LIMITATION AND CHRONIC BRONCHITIS IN FARMERS: A SYSTEMATIC REVIEW AND META-ANALYSIS;GUILLIEN, ALICIA;" CTR RECH UGA, INST ADV BIOSCI, EQUIPE EPIDEMIOL ENVIRONM, INSERM U1209,CNRS UMR 5309, GRENOBLE, FRANCE.; ";
 ;BIOLOGY OPEN;A NEURODEVELOPMENTAL TUBB2B BETA-TUBULIN MUTATION IMPAIRS BIM1 (YEAST EB1)-DEPENDENT SPINDLE POSITIONING;"DENARIER, ERIC; ANDRIEUX, ANNIE";" COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT CEA, BIOSCI & BIOTECHNOL INST GRENOBLE, GRENOBLE, FRANCE.; ";
 ;DIFFUSE OPTICAL SPECTROSCOPY AND IMAGING VII;BLOOD OXYGENATION IN BURIED FLAPS, A BI-LAYER RECONSTRUCTION;"DOT, AUDREY; HENRY, MAXIME; COLL, JEAN-LUC";" UGA, INSERM, INST ADV BIOSCI, U1209, F-38700 GRENOBLE, FRANCE.; ";
 ;SCIENTIFIC REPORTS;A VEGF-A/SOX2/SRSF2 NETWORK CONTROLS VEGFR1 PRE-MRNA ALTERNATIVE SPLICING IN LUNG CARCINOMA CELLS;"ABOU FAYCAL, CHERINE; GAZZERI, SYLVIE; EYMIN, BEATRICE";" CNRS, UMR5309, INST ADV BIOSCI, INSERM,U1209, F-38042 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF CELL SCIENCE;LOSS OF THE DEGLUTAMYLASE CCP5 PERTURBS MULTIPLE STEPS OF SPERMATOGENESIS AND LEADS TO MALE INFERTILITY;"MARTINEZ, GUILLAUME; ARNOULT, CHRISTOPHE";" INSERM, CNRS, INST ADV BIOSCI, U1209,UMR5309, F-38000 GRENOBLE, FRANCE.; ";
 ;FRONTIERS IN IMMUNOLOGY;CIRCULATING AND HEPATIC BDCA1+, BDCA2+, AND BDCA3+DENDRITIC CELLS ARE DIFFERENTIALLY SUBVERTED IN PATIENTS WITH CHRONIC HBV INFECTION;"LEROY, VINCENT; DECAENS, THOMAS";" UGA, CNRS 5309, RES CTR,INSERM, INST ADV BIOSCI,U1209,ANALYT IMMUNOL CHRON PATHOL, LA TRONCHE, FRANCE.; ";
 ;RESPIRATORY RESEARCH;SECOND-HAND SMOKE EXPOSURE IN ADULTHOOD AND LOWER RESPIRATORY HEALTH DURING 20 YEAR FOLLOW UP IN THE EUROPEAN COMMUNITY RESPIRATORY HEALTH SURVEY;SIROUX, VALERIE;" UGA, INST ADV BIOSCI, TEAM ENVIRONM EPIDEMIOL APPL REPROD & RESP HLTH, JOINT RES CTR,INSERM,UMR 5309,U1209,CNRS, F-38700 GRENOBLE, FRANCE.; ";
 ;JOURNAL OF MOLECULAR MEDICINE-JMM;NLRP7 IS INCREASED IN HUMAN IDIOPATHIC FETAL GROWTH RESTRICTION AND PLAYS A CRITICAL ROLE IN TROPHOBLAST DIFFERENTIATION;"ABI NAHED, R.;; REYNAUD, D.;; TRABOULSI, W.;; BENHAROUGA, M.;; ALFAIDY, NADIA";" BIOSCI & BIOTECHNOL INST GRENOBLE, COMMISSARIAT ENERGIE ATOM & ENERGIES ALTERNAT CEA, GRENOBLE, FRANCE.; ";
 ;HAEMATOLOGICA;DYSERYTHROPOIESIS EVALUATED BY THE RED SCORE AND HEPCIDIN: FERRITIN RATIO PREDICTS RESPONSE TO ERYTHROPOIETIN IN LOWER-RISK MYELODYSPLASTIC SYNDROMES;"PARK, SOPHIE; BOUILLOUX, CECILE; CARRE, MARTIN; GARBAN, FREDERIC; MARIETTE, CLARA; CAHN, JEAN-YVES; MEUNIER, MATHIEU";" INSERM, U1209, INST ADV BIOSCI, CNRS,UMR 5309, GRENOBLE, FRANCE.; ";
 ;NATURE COMMUNICATIONS;CRYOEM STRUCTURE OF ADENOVIRUS TYPE 3 FIBRE WITH DESMOGLEIN 2 SHOWS AN UNUSUAL MODE OF RECEPTOR ENGAGEMENT;ZUBIETA, CHLOE;" CNRS, BIOSCI & BIOTECHNOL INST GRENOBLE, LAB PHYSIOL CELLULAIRE & VEGETALE, UMR5168,CEA,INRA,UGA, 17 RUE MARTYRS, F-38054 GRENOBLE, FRANCE.; ";
 ;SCIENTIFIC REPORTS;EVOLUTION OF FOLATE BIOSYNTHESIS AND METABOLISM ACROSS ALGAE AND LAND PLANT LINEAGES;"BASTIEN, O.;; LESPINATS, S.;; REBEILLE, F.;";" UNIV JOSEPH FOURIER GRENOBLE 1, CEA GRENOBLE, BIOSCI & BIOTECHNOL INST GRENOBLE, LAB PHYSIOL CELLULAIRE VEGETALE,UMR168 CNRS,CEA,I, 17 RUE MARTYRS, F-38054 GRENOBLE 9, FRANCE.; ";
 ;ENVIRONMENTAL HEALTH PERSPECTIVES;PRENATAL PARTICULATE AIR POLLUTION AND DNA METHYLATION IN NEWBORNS: AN EPIGENOME-WIDE META-ANALYSIS;LEMONNIER, NATHANAEL;" UGA, INSERM, INST ADV BIOSCI, LA TRONCHE, FRANCE.; ";
 ;EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES;ENDOSCOPIC LATERALIZATION OF THE VOCAL FOLD;"RIGHINI, C.; A.;; ATALLAH, I";" INST AVANCEE BIOSCI, UMR, UGA, CNRS 5309,INSERM 1209, SITE SANTE,ALLEE ALPES, F-38700 LA TRONCHE, FRANCE.; ";
 ;THERIOGENOLOGY;ENZYMATIC ACTIVITY OF MOUSE GROUP X-SPLA2 IMPROVES IN VITRO PRODUCTION OF PREIMPLANTATION BOVINE EMBRYOS;"MARTINEZ, GUILLAUME; HOGRAINDLEUR, JEAN-PASCAL; LE BLEVEC, EMILIE; COUTTON, CHARLES; RAY, PIERRE F.;; ARNOULT, CHRISTOPHE";" CNRS, INST ADV BIOSCI, U1209, INSERM,UMR5309, F-38000 GRENOBLE, FRANCE.; ";
 ;OBESITY;ROLE OF LEPTIN IN THE ASSOCIATION BETWEEN BODY ADIPOSITY AND PERSISTENT ASTHMA: A LONGITUDINAL STUDY;SIROUX, VALERIE;" INSERM, TEAM ENVIRONM EPIDEMIOL APPL REPROD & RESP HLTH, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;OBESITY;ROLE OF LEPTIN IN THE ASSOCIATION BETWEEN BODY ADIPOSITY AND PERSISTENT ASTHMA: A LONGITUDINAL STUDY;SIROUX, VALERIE;" CHU GRENOBLE ALPES, TEAM ENVIRONM EPIDEMIOL APPL REPROD & RESP HLTH, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;REVUE DES MALADIES RESPIRATOIRES;EMERGENCY ROOM MANAGEMENT OF PATIENTS WITH LUNG CANCER AND ORGAN FAILURE;TOFFART, A-C;" UGA, INST AVANCEE BIOSCI, CTR RECH, INSERM U1209,CNRS UMR 5309, F-38700 LA TRONCHE, FRANCE.;";
 ;JOURNAL OF PHYSICAL CHEMISTRY B;PHOTOCHEMICAL SPIN DYNAMICS OF THE VITAMIN B-12 DERIVATIVE, METHYLCOBALAMIN;LUKINOVIC, VALENTINA;" RES CTR UGA, INST ADV BIOSCI, HLTH SITE,ALLEE ALPES, F-38700 LA TRONCHE, FRANCE.; ";
 ;RESPIRATORY RESEARCH;IS ATOPY A RISK INDICATOR OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE IN DAIRY FARMERS?;GUILLIEN, ALICIA;" INSERM, CNRS, EQUIPE EPIDEMIOL ENVIRONM,INST ADV BIOSCI, CTR RECH UGA,U1209,UMR 5309, GRENOBLE, FRANCE.; ";
 ;BLOOD ADVANCES;TUMOR MICROENVIRONMENT AND CLONAL MONOCYTES FROM CHRONIC MYELOMONOCYTIC LEUKEMIA INDUCE A PROCOAGULANT CLIMATE;PEZET, MYLENE;" INST ADV BIOSCI, PLATEFORME MICROSCOPIE PHOTON CYTOMETRIE FLUX, GRENOBLE, FRANCE.; ";
 ;BIOMATERIALS;3D TYPE I COLLAGEN ENVIRONMENT LEADS UP TO A REASSESSMENT OF THE CLASSIFICATION OF HUMAN MACROPHAGE POLARIZATIONS;"COURT, MAGALI; MALIER, MARIE; MILLET, ARNAUD";" INSERM, U1209, INST ADV BIOSCI, TEAM MECHANOBIOL IMMUN & CANC,CNRS,UMR5309, LA TRONCHE, FRANCE.; ";
 ;GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY;MONITORING OF VISUAL FIELD OVER 6MONTHS AFTER ACTIVE OCULAR TOXOPLASMOSIS;"CHUMPITAZI, B.; F.; F.;; PELLOUX, H.;";" INSERM, U1209, INST ADV BIOSCI, UMR,CNRS,UGA 5309, GRENOBLE, FRANCE.; ";
 ;CLINICAL AND EXPERIMENTAL ALLERGY;DETERMINANTS OF FRACTIONAL EXHALED NITRIC OXIDE IN HEALTHY MEN AND WOMEN FROM THE EUROPEAN COMMUNITY RESPIRATORY HEALTH SURVEY III;PIN, ISABELLE;" INSERM, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;NATURE MICROBIOLOGY;THE TOXOPLASMA EFFECTOR TEEGR PROMOTES PARASITE PERSISTENCE BY MODULATING NF-KAPPA B SIGNALLING VIA EZH2;"VOLTAIRE, JULIEN; JOSSERAND, VERONIQUE";" INST ADV BIOSCI, OPTIMAL SMALL ANIM IMAGING FACIL, GRENOBLE, FRANCE.; ";
 ;MBIO;TOXOPLASMA GONDII PARASITOPHOROUS VACUOLE MEMBRANE-ASSOCIATED DENSE GRANULE PROTEINS ORCHESTRATE CHRONIC INFECTION AND GRA12 UNDERPINS RESISTANCE TO HOST GAMMA INTERFERON;RAK, CAMILLE;" INST BIOSCI & BIOTECHNOL GRENOBLE, GRENOBLE, FRANCE.;";
 ;ALLERGY;RISK OF ADULT-ONSET ASTHMA INCREASES WITH THE NUMBER OF ALLERGIC MULTIMORBIDITIES AND DECREASES WITH AGE;"CHANOINE, SEBASTIEN; SIROUX, VALERIE";" UGA INSERM 1209 CNRS UMR 5309 JOINT RES CTR TEAM, INST ADV BIOSCI, LA TRONCHE, FRANCE.; ";
 ;CYTOMETRY PART A;TOWARD MICROFLUIDIC LABEL-FREE ISOLATION AND ENUMERATION OF CIRCULATING TUMOR CELLS FROM BLOOD SAMPLES;MILLET, ARNAUD;" INSERM U1209 CNRS UMR5309, INST ADV BIOSCI, TEAM MECHANOBIOL IMMUN & CANC, GRENOBLE, FRANCE.; ";
 ;EMBO REPORTS;NUCLEAR ENVELOPE DEFORMATION CONTROLS CELL CYCLE PROGRESSION IN RESPONSE TO MECHANICAL FORCE;"AUREILLE, JULIEN; BUFFIERE-RIBOT, VALENTIN; HARVEY, BEN E.;; BOYAULT, CYRIL; PERNET, LYDIA; FRABOULET, SANDRINE; GUILLUY, CHRISTOPHE";" CNRS UMR 5309, INSERM U1209, CTR RECH UGA, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;PROCEEDINGS OF THE VLDB ENDOWMENT;COVIZ: A SYSTEM FOR VISUAL FORMATION AND EXPLORATION OF PATIENT COHORTS;SIROUX, VALERIE;" INST ADV BIOSCI, LA TRONCHE, FRANCE.; ";
 ;EMBO REPORTS;NUCLEAR ENVELOPE DEFORMATION CONTROLS CELL CYCLE PROGRESSION IN RESPONSE TO MECHANICAL FORCE;"AUREILLE, JULIEN; BUFFIERE-RIBOT, VALENTIN; HARVEY, BEN E.;; BOYAULT, CYRIL; PERNET, LYDIA; FRABOULET, SANDRINE; GUILLUY, CHRISTOPHE";" CTR RECH UGA, INSERM U1209, CNRS UMR 5309, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;RESPIRATORY RESEARCH;HIGH LEVEL OF FLUORESCENT OXIDATION PRODUCTS AND WORSENING OF ASTHMA CONTROL OVER TIME;SIROUX, VALERIE;" INSERM, CNRS, EQUIPE EPIDEMIOL ENVIRONM, INST ADV BIOSCI,CTR RECH UGA,U1209,UMR 5309, SITE SANTE,ALLEE ALPES, F-38700 LA TRONCHE, FRANCE.; ";
 ;INTERNATIONAL JOURNAL OF PHARMACEUTICS;THE PRESENCE OF PEG ON NANOPARTICLES PRESENTING THE C[RGDFK]- AND/OR ATWLPPR PEPTIDES DEEPLY AFFECTS THE RTKS-AKT-GSK3 BETA-ENOS SIGNALING PATHWAY AND ENDOTHELIAL CELLS SURVIVAL;"JIA, TAO; EYMIN, BEATRICE; COLL, JEAN-LUC";" INST ADV BIOSCI, INSERM U1209, CNRS UMR 5309, F-38600 LA TRONCHE, FRANCE.; ";
 ;PLOS ONE;THE ROLE OF C-REACTIVE PROTEIN LEVELS ON THE ASSOCIATION OF PHYSICAL ACTIVITY WITH LUNG FUNCTION IN ADULTS;PIN, ISABELLE;" INSERM, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;CANCERS;PREDICTIVE FACTORS FOR RESPONSE TO PD-1/PD-L1 CHECKPOINT INHIBITION IN THE FIELD OF HEPATOCELLULAR CARCINOMA: CURRENT STATUS AND CHALLENGES;"JILKOVA, ZUZANA MACEK; ASPORD, CAROLINE; DECAENS, THOMAS";" INST ADV BIOSCI, RES CTR UGA, INSERM U1209, CNRS 5309, F-38700 LA TRONCHE, FRANCE.; ";
 ;CANCERS;ANIMAL MODELS OF HEPATOCELLULAR CARCINOMA: THE ROLE OF IMMUNE SYSTEM AND TUMOR MICROENVIRONMENT;"JILKOVA, ZUZANA MACEK; KURMA, KEERTHI; DECAENS, THOMAS";" CNRS 5309, INSERM 1209, RES CTR UGA, INST ADV BIOSCI, F-38043 GRENOBLE, FRANCE.; ";
 ;FRONTIERS IN MEDICINE;TRANSLATING SYSTEMS MEDICINE INTO CLINICAL PRACTICE: EXAMPLES FROM PULMONARY MEDICINE WITH GENETIC DISORDERS, INFECTIONS, INFLAMMATIONS, CANCER GENESIS, AND TREATMENT IMPLICATION OF MOLECULAR ALTERATIONS IN NON-SMALL-CELL LUNG CANCERS AND PERSONALIZED MEDICINE;"MCLEER-FLORIN, ANNE; DE FRAIPONT, FLORENCE; TOFFART, ANNE-CLAIRE";" UNIV GRENOBLE ALOES, INST ADV BIOSCI, CNRS 5309, INSERM U1209, GRENOBLE, FRANCE.; ";
 ;ENVIRONMENTAL HEALTH;DOES THE OXIDATIVE STRESS PLAY A ROLE IN THE ASSOCIATIONS BETWEEN OUTDOOR AIR POLLUTION AND PERSISTENT ASTHMA IN ADULTS? FINDINGS FROM THE EGEA STUDY;SIROUX, VALERIE;" INST ADV BIOSCI, CTR RECH, EQUIPE EPIDEMIOL ENVIRONM, UGA,INSERM,U1209,CNRS,UMR 5309, SITE SANTE,ALLEE ALPES, GRENOBLE, FRANCE.; ";
 ;ENVIRONMENT INTERNATIONAL;RESIDENTIAL SURROUNDING GREENSPACE AND AGE AT MENOPAUSE: A 20-YEAR EUROPEAN STUDY (ECRHS);PIN, ISABELLE;" INSERM, INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;SCIENTIFIC REPORTS;SELECTIVE PRIMING OF TUMOR BLOOD VESSELS BY RADIATION THERAPY ENHANCES NANODRUG DELIVERY;SANCEY, LUCIE;" CNRS, UMR 5309, JOINT RES CTR, INST ADV BIOSCI,UGA,INSERM U1209, GRENOBLE, FRANCE.; ";
