UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE
;JOURNAL OF VISCERAL SURGERY;TREATMENT OF PRIMARY AND METASTATIC PERITONEAL TUMORS IN THE COVID-19 PANDEMIC. PROPOSALS FOR PRIORITIZATION FROM THE RENAPE AND BIG-RENAPE GROUPS;"ABBA, J.;; ARVIEUX, C.;";" CHU GRENOBLE ALPES, SERV CHIRURG DIGEST & URGENCE, GRENOBLE, FRANCE.; "
;JOURNAL OF VISCERAL SURGERY;REFORM OF THE 3RD CYCLE IN SURGERY TRAINING;"CHIQUET, C.;";" UNIV GRENOBLE, SERV OPHTHALMOL, CHU GRENOBLE, F-38700 LA TRONCHE, FRANCE.; "
;INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH;USE OF PERSONAL CARE PRODUCTS DURING PREGNANCY IN RELATION TO URINARY CONCENTRATIONS OF SELECT PHENOLS: A LONGITUDINAL ANALYSIS FROM THE SEPAGES FEASIBILITY STUDY;PIN, ISABELLE;" CTR HOSP UNIV CHU, SERV PEDIAT, GRENOBLE, FRANCE.; "
;FUTURE ONCOLOGY;TREATMENT SEQUENCE OF FIRST AND SECOND GENERATION TYROSINE KINASE INHIBITOR FOLLOWED BY OSIMERTINIB IN EGFR-MUTATED NON-SMALL-CELL LUNG CANCER: A REAL LIFE STUDY;MORO-SIBILOT, DENIS;" CHU GRENOBLE ALPES, ONCOL THORAC SHUPP, GRENOBLE, FRANCE.; "
;EUROPEAN JOURNAL OF NEUROSCIENCE;MULTIVARIATE PATTERN ANALYSIS OF FMRI DATA FOR IMAGINARY AND REAL COLOURS IN GRAPHEME-COLOUR SYNAESTHESIA;"RUIZ, MATHIEU J.;; DOJAT, MICHEL";" CHU GRENOBLE ALPES, GRENOBLE, FRANCE.;"
;EMBO JOURNAL;NR2F1 REGULATES REGIONAL PROGENITOR DYNAMICS IN THE MOUSE NEOCORTEX AND CORTICAL GYRIFICATION IN BBSOAS PATIENTS;DEVILLARD, FRANCOISE;" CHU GRENOBLE, DEPT GENET & PROCREAT, HOP COUPLE ENFANT, GRENOBLE, FRANCE.; "
;EUROPEAN RADIOLOGY;NATIONAL DOSE REFERENCE LEVELS IN COMPUTED TOMOGRAPHY-GUIDED INTERVENTIONAL PROCEDURES-A PROPOSAL (VOL 53, PG 831, 2020);"FERRETTI, GILBERT; ROUSSEAU, JULIA";" CHU GRENOBLE ALPES, POLE IMAGERIE, GRENOBLE, FRANCE.; "
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;EFFECTIVENESS OF A MULTICOMPONENT PHARMACIST INTERVENTION AT HOSPITAL DISCHARGE FOR DRUG-RELATED PROBLEMS: A CLUSTER RANDOMISED CROSS-OVER TRIAL;ALLENET, BENOIT;" CHU GRENOBLE, PHARM DEPT, GRENOBLE, FRANCE.; "
;NEUROGASTROENTEROLOGY AND MOTILITY;A 12-MONTH PILOT STUDY OUTCOMES OF VAGUS NERVE STIMULATION IN CROHN'S DISEASE;"SINNIGER, VALERIE; BONAZ, BRUNO";" CHU GRENOBLE ALPES, DIV HEPATOGASTROENTEROL, F-38000 GRENOBLE, FRANCE.; "
;JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY;TRUNCAL ACNE, WHAT DO WE KNOW?;"LECCIA, M.; -T.;";" CHU MICHALLON, DEPT DERMATOL ALLERGOL & PHOTOBIOL, GRENOBLE, FRANCE.; "
;ANNALS OF INTENSIVE CARE;MUCORMYCOSIS IN INTENSIVE CARE UNIT: SURGERY IS A MAJOR PROGNOSTIC FACTOR IN PATIENTS WITH HEMATOLOGICAL MALIGNANCY;JOUVE, THOMAS;" CHU GRENOBLE ALPES, SERV HOSPITALOUNIV NEPHROL, GRENOBLE, FRANCE.; "
;ANNALS OF INTENSIVE CARE;MUCORMYCOSIS IN INTENSIVE CARE UNIT: SURGERY IS A MAJOR PROGNOSTIC FACTOR IN PATIENTS WITH HEMATOLOGICAL MALIGNANCY;"TRUCHE, ANNE-SOPHIE; SCHWEBEL, CAROLE; TERZI, NICOLAS";" CHU GRENOBLE ALPES, MED INTENS REANIMAT, GRENOBLE, FRANCE.; "
;ANNALS OF INTENSIVE CARE;MUCORMYCOSIS IN INTENSIVE CARE UNIT: SURGERY IS A MAJOR PROGNOSTIC FACTOR IN PATIENTS WITH HEMATOLOGICAL MALIGNANCY;LAVAGNE, PIERRE;" CHU GRENOBLE ALPES, REANIMAT POLYVALENTE CHIRURG, GRENOBLE, FRANCE.; "
;ANNALS OF INTENSIVE CARE;MUCORMYCOSIS IN INTENSIVE CARE UNIT: SURGERY IS A MAJOR PROGNOSTIC FACTOR IN PATIENTS WITH HEMATOLOGICAL MALIGNANCY;DURAND, MICHEL;" CHU GRENOBLE ALPES, REANIMAT CARDIOVASC & THORAC, GRENOBLE, FRANCE.; "
;ANNALS OF INTENSIVE CARE;MUCORMYCOSIS IN INTENSIVE CARE UNIT: SURGERY IS A MAJOR PROGNOSTIC FACTOR IN PATIENTS WITH HEMATOLOGICAL MALIGNANCY;CORNET, MURIEL;" CHU GRENOBLE ALPES, LAB MYCOL PARASITOL, GRENOBLE, FRANCE.;"
;JOURNAL OF MEDICAL PRIMATOLOGY;DESLORELIN ACETATE IMPLANT INDUCES TRANSIENT STERILITY AND BEHAVIOR CHANGES IN MALE OLIVE BABOON (PAPIO ANUBIS): A CASE STUDY;"MARTINEZ, GUILLAUME; COUTTON, CHARLES";" CHU GRENOBLE, HOP COUPLE ENFANT, UM GENET CHROMOSOM, GRENOBLE, FRANCE.; "
;JOURNAL OF MEDICAL PRIMATOLOGY;DESLORELIN ACETATE IMPLANT INDUCES TRANSIENT STERILITY AND BEHAVIOR CHANGES IN MALE OLIVE BABOON (PAPIO ANUBIS): A CASE STUDY;BROUILLET, SOPHIE;" CHU GRENOBLE, CTR CLIN & BIOL ASSISTANCE MED PROCREAT CECOS, HOP COUPLE ENFANT, LA TRONCHE, FRANCE.; "
;JOURNAL OF NEUROLOGY;DYSPNEA AFTER SUBTHALAMIC DEEP BRAIN STIMULATION IN PARKINSON'S DISEASE: A CASE-CONTROL STUDY;"MEONI, SARA; MORO, ELENA";" CHU GRENOBLE ALPES, DIV NEUROL, MOVEMENT DISORDERS UNIT, GRENOBLE, FRANCE.; "
;ORPHANET JOURNAL OF RARE DISEASES;EFFECTS OF NUSINERSEN AFTER ONE YEAR OF TREATMENT IN 123 CHILDREN WITH SMA TYPE 1 OR 2: A FRENCH REAL-LIFE OBSERVATIONAL STUDY;TESTARD, HERVE;" CHU GRENOBLE, HOP COUPLE ENFANT, CLIN UNIV PEDIAT, CTR COMPETENCE MALAD NEUROMUSCULAIRES PACARARE,NE, GRENOBLE, FRANCE.; "
;NATURE CELL BIOLOGY;NEURAL METABOLIC IMBALANCE INDUCED BY MOF DYSFUNCTION TRIGGERS PERICYTE ACTIVATION AND BREAKDOWN OF VASCULATURE;SARTELET, HERVE;" CHU GRENOBLE ALPES, UF FOETOPATHOL, SERV GENET & PROCREAT, GRENOBLE, FRANCE.; "
;DISABILITY AND REHABILITATION;VALIDITY, RELIABILITY AND RESPONSIVENESS TO CHANGE OF THE FRENCH VERSION OF THE DROOLING IMPACT SCALE;BOURG, VERONIQUE;" CHU, HOP NORD, BLVD CHANTOURNE, LA TRONCHE, FRANCE.;"
;JOURNAL OF CLINICAL ONCOLOGY;COMPOSITE GRFS AND CRFS OUTCOMES AFTER ADULT ALTERNATIVE DONOR HCT;CAHN, JEAN-YVES;" CHU GRENOBLE ALPES, DEPT HEMATOL, GRENOBLE, FRANCE.;"
;CLINICAL LINGUISTICS & PHONETICS;SPEECH REHABILITATION IN POST-STROKE APHASIA USING VISUAL ILLUSTRATION OF SPEECH ARTICULATORS: A CASE REPORT STUDY;"MARCON, VALERIE; PISCICELLI, CELINE; CHRISPIN, ANNE; PERENNOU, DOMINIC";" CHU GRENOBLE ALPES, MED PHYS & READAPTAT, GRENOBLE, FRANCE.;"
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;TABLETS OR ORAL SUSPENSION FOR POSACONAZOLE IN LUNG TRANSPLANT RECIPIENTS? CONSEQUENCES FOR TROUGH CONCENTRATIONS OF TACROLIMUS AND EVEROLIMUS;"CHANOINE, SEBASTIEN; PLUCHART, HELENE; BEDOUCH, PIERRICK";" CHU GRENOBLE ALPES, POLE PHARM, GRENOBLE, FRANCE.; "
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;TABLETS OR ORAL SUSPENSION FOR POSACONAZOLE IN LUNG TRANSPLANT RECIPIENTS? CONSEQUENCES FOR TROUGH CONCENTRATIONS OF TACROLIMUS AND EVEROLIMUS;"GAUTIER-VEYRET, ELODIE; TONINI, JULIA; FONROSE, XAVIER; STANKE-LABESQUE, FRANCOISE";" CHU GRENOBLE ALPES, LAB PHARMACOL PHARMACOGENET & TOXICOL, GRENOBLE, FRANCE.; "
;BRITISH JOURNAL OF CLINICAL PHARMACOLOGY;TABLETS OR ORAL SUSPENSION FOR POSACONAZOLE IN LUNG TRANSPLANT RECIPIENTS? CONSEQUENCES FOR TROUGH CONCENTRATIONS OF TACROLIMUS AND EVEROLIMUS;CLAUSTRE, JOHANNA;" CHU GRENOBLE ALPES, SERV HOSP UNIV PNEUMOL PHYSIOL, GRENOBLE, FRANCE.; "
;TRIALS;FASCE, THE BENEFIT OF SPIRONOLACTONE FOR TREATING ACNE IN WOMEN: STUDY PROTOCOL FOR A RANDOMIZED DOUBLE-BLIND TRIAL;CLAUDEL, JEAN-PAUL;" CHU MICHALLON, DEPT DERMATOL ALLERGOL & PHOTOBIOL, GRENOBLE, FRANCE.; "
;ANNALS OF HEMATOLOGY;SAFETY AND EFFICACY OF TEMSIROLIMUS IN COMBINATION WITH THREE DIFFERENT IMMUNO-CHEMOTHERAPY REGIMENS IN RELAPSE AND REFRACTORY MANTLE CELL LYMPHOMA, FINAL RESULTS OF THE T(3)PHASE IB TRIAL OF THE LYSA;GRESSIN, REMY;" CHU GRENOBLE, HEMATOL, GRENOBLE, FRANCE.; "
;HUMAN MUTATION;TAR SYNDROME: CLINICAL AND MOLECULAR CHARACTERIZATION OF A COHORT OF 26 PATIENTS AND DESCRIPTION OF NOVEL NONCODING VARIANTS OFRBM8A;JOUK, PIERRE-SIMON;" CHU GRENOBLE ALPES, GENET DEPT, GRENOBLE, FRANCE.; "
;CLINICAL NEUROPHYSIOLOGY;LONG-TERM TREATMENT OF CHRONIC OROFACIAL, PUDENDAL, AND CENTRAL NEUROPATHIC LIMB PAIN WITH REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION OF THE MOTOR CORTEX;"HODAJ, HASAN; PAYEN, JEAN-FRANCOIS; DUMOLARD, ANNE; MAINDET, CAROLINE";" CHU GRENOBLE ALPES, CTR DOULEUR, POLE ANESTHESIE REANIMAT, F-38000 GRENOBLE, FRANCE.; "
;CLINICAL NEUROPHYSIOLOGY;LONG-TERM TREATMENT OF CHRONIC OROFACIAL, PUDENDAL, AND CENTRAL NEUROPATHIC LIMB PAIN WITH REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION OF THE MOTOR CORTEX;"HODAJ, ENKELEJDA; CRACOWSKI, JEAN-LUC";" CHU GRENOBLE ALPES, CTR INVEST CLIN, F-38000 GRENOBLE, FRANCE.; "
;LANCET ONCOLOGY;COVID-19 IN PATIENTS WITH THORACIC MALIGNANCIES (TERAVOLT): FIRST RESULTS OF AN INTERNATIONAL, REGISTRY-BASED, COHORT STUDY;MORO-SIBILOT, DENIS;" CHU GRENOBLE ALPES, SERV HOSP UNIV PNEUMOL PHYSIOL, GRENOBLE, FRANCE.; "
;ANTIMICROBIAL AGENTS AND CHEMOTHERAPY;SPECIES DISTRIBUTION AND COMPARISON BETWEEN EUCAST AND GRADIENT CONCENTRATION STRIPS METHODS FOR ANTIFUNGAL SUSCEPTIBILITY TESTING OF 112 ASPERGILLUS SECTION NIGRI ISOLATES;"MAUBON, D.;";" CHU GRENOBLE, LAB PARASITOL MYCOL, GRENOBLE, FRANCE.; "
;JOURNAL OF MEDICAL GENETICS;EXCESS OF DE NOVO VARIANTS IN GENES INVOLVED IN CHROMATIN REMODELLING IN PATIENTS WITH MARFANOID HABITUS AND INTELLECTUAL DISABILITY;"JOUK, PIERRE-SIMON; LOPEZ, GIPSY";" CHU GRENOBLE, CTR REFERENCE ANOMALIES DEV & SYNDROMES MALFORMAT, GRENOBLE, FRANCE.; "
;HORMONE RESEARCH IN PAEDIATRICS;HYPOPITUITARISM IN PATIENTS WITH BLEPHAROPHIMOSIS AND FOXL2 MUTATIONS;CHABRE, OLIVIER;" CHU GRENOBLE ALPES, CS 10217, F-38043 GRENOBLE, FRANCE.; "
;PLOS ONE;CHRONIC TOXOPLASMOSIS AND SLEEPINESS IN OBSTRUCTIVE SLEEP APNEA: IS THERE A LINK?;"DARD, CELINE; BRENIER-PINCHART, MARIE-PIERRE; FRICKER-HIDALGO, HELENE; PELLOUX, HERVE";" CHU GRENOBLE ALPES, PARASITOL & MYCOL LAB, GRENOBLE, FRANCE.; "
;JOURNAL OF UROLOGY;MALIGNANCY AFTER AUGMENTATION ENTEROCYSTOPLASTY: A NATIONWIDE STUDY OF NATURAL HISTORY, PROGNOSIS AND ONCOGENE PANEL ANALYSIS;"BOILLOT, B.;";" CHU GRENOBLE, SERV UROL, GRENOBLE, FRANCE.; "
;THERAPEUTIC ADVANCES IN MEDICAL ONCOLOGY;MAINTENANCE THERAPIES IN METASTATIC PANCREATIC CANCER: PRESENT AND FUTURE WITH A FOCUS ON PARP INHIBITORS;DENGREMONT, CHRISTELLE;" CHU LA TRONCHE, HEPATOGASTROENTEROL UNIT, GRENOBLE, FRANCE.; "
;SCIENCE ADVANCES;HUMAN ENDOGENOUS RETROVIRAL PROTEIN TRIGGERS DEFICIT IN GLUTAMATE SYNAPSE MATURATION AND BEHAVIORS ASSOCIATED WITH PSYCHOSIS;"GERMI, R.;";" CHU GRENOBLE ALPES, GRENOBLE, CRETEIL, FRANCE.; "
;SCIENCE ADVANCES;TARGETING BRAIN METASTASES WITH ULTRASMALL THERANOSTIC NANOPARTICLES, A FIRST-IN-HUMAN TRIAL FROM AN MRI PERSPECTIVE;"VERRY, CAMILLE; GRAND, SYLVIE; BALOSSO, JACQUES";" CHU GRENOBLE ALPES, GRENOBLE, FRANCE.; "
;BULLETIN DU CANCER;IMMUNOTHERAPY OF METASTATIC NON-SMALL CELL LUNG CANCER FROM FIRST LINE TO RESISTANCE AND ITS MANAGEMENT;"GIAJ LEVRA, MATTEO; MORO-SIBILOT, DENIS";" CHU GRENOBLE ALPES, ONCOL THORAC SHUPP, CS10217 CEDEX, F-38043 GRENOBLE, FRANCE.; "
;EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY;CURRENT RESULTS OF LEFT VENTRICULAR ASSIST DEVICE THERAPY IN FRANCE: THE ASSIST-ICD REGISTRY;"BOIGNARD, AUDE; CHAVANON, OLIVIER";" CHU MICHALLON, DEPT CARDIOL & CARDIOVASC SURG, GRENOBLE, FRANCE.; "
;OPERATIVE NEUROSURGERY;FRAMELESS ROSA (R) ROBOT-ASSISTED LEAD IMPLANTATION FOR DEEP BRAIN STIMULATION: TECHNIQUE AND ACCURACY;"LIU, LANNIE; MARIANI, SARAH GIULIA; DE SCHLICHTING, EMMANUEL; SEIGNEURET, ERIC; CHABARDES, STEPHAN";" CHU GRENOBLE ALPES, CLIN UNIV NEUROCHIRURG, GRENOBLE, FRANCE.; "
;OPERATIVE NEUROSURGERY;FRAMELESS ROSA (R) ROBOT-ASSISTED LEAD IMPLANTATION FOR DEEP BRAIN STIMULATION: TECHNIQUE AND ACCURACY;GRAND, SYLVIE;" CHU GRENOBLE ALPES, DEPT NEURORADIOL, GRENOBLE, FRANCE.; "
;JOURNAL OF HEPATOLOGY;PORTOPULMONARY HYPERTENSION IN THE CURRENT ERA OF PULMONARY HYPERTENSION MANAGEMENT;BOUVAIST, HELENE;" CHU GRENOBLE ALPES, SERV CARDIOL, HOP LA TRONCHE, GRENOBLE, FRANCE.; "
;EUROPEAN JOURNAL OF DERMATOLOGY;MANAGEMENT OF ADJUVANT SETTINGS FOR STAGE III MELANOMA PATIENTS IN FRANCE PRIOR TO CHECKPOINT INHIBITORS: EPIDEMIOLOGICAL DATA FROM THE RIC-MEL DATABASE;LECCIA, MARIE-THERESE;" HOP ALBERT MICHALON, DEPT DERMATOL, CHU GRENOBLE, LA TRONCHE, FRANCE.; "
;NATURE COMMUNICATIONS;A UNIFIED CONNECTOMIC TARGET FOR DEEP BRAIN STIMULATION IN OBSESSIVE-COMPULSIVE DISORDER;POLOSAN, MIRCEA;" CHU GRENOBLE ALPES, PSYCHIAT DEPT, F-38000 GRENOBLE, FRANCE.; "
