instStructName_s;labStructName_s;authFullName_s;title_s;fr_title_s;en_title_s;producedDate_s;journalTitle_s;journalEissn_s;journalIssn_s;conferenceTitle_s;publisher_s;language_s;domainAllCode_s;primaryDomain_s;domain_s;fr_keyword_s;en_keyword_s;anrProjectAcronym_s;europeanProjectTitle_s;abstract_s;halId_s;uri_s;Maj_auth;maj_title
UniversitÇ Pierre Mendäs France - Grenoble 2,UniversitÇ Grenoble Alpes;Centre de recherche en Çconomie de Grenoble;Salem Boubakri,Cyriac Guillaumin,Alexandre Silanine;Non-linear relationship between real commodity price volatility and real effective exchange rate: The case of commodity-exporting countries;;Non-linear relationship between real commodity price volatility and real effective exchange rate: The case of commodity-exporting countries;2019-06;Journal of Macroeconomics;;0164-0704;;;en;shs.eco;shs.eco;0.shs,1.shs.eco;;Real commodity price volatility,Commodity-exporting countries,Real effective exchange rate,Financial integration,Panel smooth transition model;;;The aim of this paper is to contribute to the existing literature by exploring the relationship between the real commodity price volatilities and the real effective exchange rate (REER) of commodity-exporting countries\, taking into account the transition variable of financial market integration. To this end\, we consider a sample of 42 commodity-exporting countries subdivided into 4 panels: food and beverages\, energy\, metals\, and raw materials. Our results highlight that the relationship between real commodity price volatility and REER is non-linear and depends on the degree of financialization of the commodity market. Specifically\, when a country is poorly integrated financially\, the volatility of the real commodity price has a strong and negative impact on the variation in REER. However\, for periods when a country is better integrated financially\, we observe a decrease in the impact of real commodity price volatility on REER\, especially for the two panels of food and beverages as well as energy. Our findings also highlight the growth of financialization of commodities post-2000\, particularly in the case of the energy sector.;halshs-02157574;https://halshs.archives-ouvertes.fr/halshs-02157574;SALEM BOUBAKRI,CYRIAC GUILLAUMIN,ALEXANDRE SILANINE;NON-LINEAR RELATIONSHIP BETWEEN REAL COMMODITY PRICE VOLATILITY AND REAL EFFECTIVE EXCHANGE RATE: THE CASE OF COMMODITY-EXPORTING COUNTRIES
Institut polytechnique de Grenoble - Grenoble Institute of Technology,Centre National de la Recherche Scientifique,UniversitÇ Grenoble Alpes;Laboratoire des êcoulements GÇophysiques et Industriels [Grenoble];Achim Wirth;A Fluctuation?Dissipation Relation for the Ocean Subject to Turbulent Atmospheric Forcing;;A Fluctuation?Dissipation Relation for the Ocean Subject to Turbulent Atmospheric Forcing;2018;Journal of Physical Oceanography;1520-0485;0022-3670;;;en;sdu.ocean,phys.meca.mefl;sdu.ocean;0.sdu,1.sdu.ocean,0.phys,1.phys.meca,2.phys.meca.mefl;;;;;The fluctuation?dissipation relation for a turbulent fluid layer (ocean) subject to frictional forcing by a superposed lighter fluid layer (atmosphere) in local models of air?sea dynamics is established. The fluctuation?dissipation relation reflects the fact that air?sea interaction not only injects energy in the ocean but also dissipates it. Energy injection and dissipation must therefore be related. The competition between the two processes determines the oceanic energy budget in the idealized dynamics considered here. When applying the fluctuation?dissipation relation to a two-dimensional\, two-layer\, Navier?Stokes model with turbulent dynamics\, in the atmosphere and the ocean\, coupled by a quadratic friction law\, the friction parameter is estimated within 8% of the true value\, while the estimation of the mass ratio between the atmosphere and the ocean fails\, as the forcing time scale is not faster than the characteristic time scale of the atmospheric dynamics.;hal-01769301;https://hal.archives-ouvertes.fr/hal-01769301;ACHIM WIRTH;A FLUCTUATION?DISSIPATION RELATION FOR THE OCEAN SUBJECT TO TURBULENT ATMOSPHERIC FORCING
UniversitÇ de Bordeaux,Institut Polytechnique de Bordeaux,Centre National de la Recherche Scientifique,UniversitÇ de Picardie Jules Verne,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique,European Synchrotron Radiation Facility,Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE);Institut de Chimie de la Matiäre CondensÇe de Bordeaux,Laboratoire rÇactivitÇ et chimie des solides,Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE);Thibault Broux,Benoit Fleutot,RÇnald David,Annelise BrÅll,Philippe Veber,Franáois Fauth,Matthieu Courty,Laurence Croguennec,Christian Masquelier;Temperature dependence of structural and transport properties for Na3V2(PO4)2F3 and Na3V2(PO4)2F2.5O0.5;;Temperature dependence of structural and transport properties for Na3V2(PO4)2F3 and Na3V2(PO4)2F2.5O0.5;10/01/2018;Chemistry of Materials;1520-5002;0897-4756;;;en;chim.mate;chim.mate;0.chim,1.chim.mate;;;STORE-EX,SODIUM;;Among polyanionic-based electrode materials developed for Na-ion batteries\, one of the most promising families turns out to be Na3V2(PO4)2F3?yOy (0 ? y ? 2). Here\, we present the influence of the oxygen substitution for fluorine on the structural and transport properties of Na3V2(PO4)2F3?yOy\, as a function of temperature\, through the comparison of the two compositions y = 0 and y = 0.5. An order?disorder phase transition is observed\, whatever the content in oxygen\, in relation with changes in the ionic conductivity and thus with the mobility of the Na+ ions within the tunnels of the tridimensional structure. The richer the content in oxygen in Na3V2(PO4)2F3?yOy\, the higher is the electronic conductivity\, in relation with the mixed valence state V3+/V4+ within the bioctahedral units V2O8F3?yOy\, and the better are the electrochemical performances in Na-ion batteries.;hal-01693955;https://hal.archives-ouvertes.fr/hal-01693955;THIBAULT BROUX,BENOIT FLEUTOT,RêNALD DAVID,ANNELISE BRöLL,PHILIPPE VEBER,FRANÄOIS FAUTH,MATTHIEU COURTY,LAURENCE CROGUENNEC,CHRISTIAN MASQUELIER;TEMPERATURE DEPENDENCE OF STRUCTURAL AND TRANSPORT PROPERTIES FOR NA3V2(PO4)2F3 AND NA3V2(PO4)2F2.5O0.5
UniversitÇ de Bordeaux,Institut Polytechnique de Bordeaux,Centre National de la Recherche Scientifique,UniversitÇ de Picardie Jules Verne,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique,UniversitÇ Montesquieu - Bordeaux 4,UniversitÇ Sciences et Technologies - Bordeaux 1,êcole Nationale SupÇrieure de Chimie et de Physique de Bordeaux (ENSCPB),Centre National de la Recherche Scientifique,ILL,ALBA Synchrotron light source,Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE);Institut de Chimie de la Matiäre CondensÇe de Bordeaux,Laboratoire rÇactivitÇ et chimie des solides,Institut des Sciences MolÇculaires,Institut Laue-Langevin,ALBA Synchrotron light source [Barcelone],Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE);Edouard Boivin,RÇnald David,Jean-Noâl Chotard,Tahya Bamine,Antonella Iadecola,Lydie Bourgeois,Emmanuelle Suard,Franáois Fauth,Dany Carlier,Christian Masquelier,Laurence Croguennec;LiVPO4F1?yOy tavorite-type compositions: influence of the vanadyl-type defects concentration on the structure and electrochemical performance;;LiVPO4F1?yOy tavorite-type compositions: influence of the vanadyl-type defects concentration on the structure and electrochemical performance;20/07/2018;Chemistry of Materials;1520-5002;0897-4756;;;en;chim.mate;chim.mate;0.chim,1.chim.mate;;;ROCK,STORE-EX,HIPOLITE;;Mixed-valence LiVPO4F1?yOy materials were obtained for the first time over a large composition range (here 0.35 ? y ? 0.75) through a single-step solid-state synthesis. Interestingly\, the competition between the ionic character of the V3+?F bond and the strong covalency of the V4+?O vanadyl bond originates complex crystal chemistry at the local scale\, which allows stabilization of a solid solution between LiVPO4F and LiVPO4O despite a significant deviation from Vegard?s law for the cell parameters. A combined study using IR\, Raman\, and X-ray absorption spectroscopies highlights the effect of the vanadyl environment on the electronic structure of the vanadium orbitals and a fortiori the electrochemical behavior. Our results underline that the electrochemical performance of LiVPO4F1?yOy-type materials can be controlled by tuning the concentration of vanadyl-type defects\, i.e.\, by playing on the competition between the ionic V3+?F bond and the covalent V4+?O bond.;hal-02115847;https://hal.archives-ouvertes.fr/hal-02115847;EDOUARD BOIVIN,RêNALD DAVID,JEAN-NO”L CHOTARD,TAHYA BAMINE,ANTONELLA IADECOLA,LYDIE BOURGEOIS,EMMANUELLE SUARD,FRANÄOIS FAUTH,DANY CARLIER,CHRISTIAN MASQUELIER,LAURENCE CROGUENNEC;LIVPO4F1?YOY TAVORITE-TYPE COMPOSITIONS: INFLUENCE OF THE VANADYL-TYPE DEFECTS CONCENTRATION ON THE STRUCTURE AND ELECTROCHEMICAL PERFORMANCE
UniversitÇ Montpellier 1,UniversitÇ Montpellier 2 - Sciences et Techniques,Ecole Nationale SupÇrieure de Chimie de Montpellier,UniversitÇ de Montpellier,Centre National de la Recherche Scientifique,European Synchrotron Radiation Facility,Delft University of Technology,Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE),Univ Liege\, Inst Chem\, CESAM Res Unit\, GREENMAT\, B-4000 Liege\, Belgium,Centre National de la Recherche Scientifique,UT-Battelle\, LLC,Centre National de la Recherche Scientifique;Institut Charles Gerhardt Montpellier - Institut de Chimie MolÇculaire et des MatÇriaux de Montpellier,Dutch Belgian Beam line,Advanced Lithium Energy Storage Systems - ALISTORE (FRANCE),Synchrotron SOLEIL;Ali Darwiche,Marcus Fehse,Abdelfattah Mahmoud,Camille Fontaine,Bernard Fraisse,Raphael Hermann,Marie-Liesse Doublet,Laure Monconduit,Moulay Sougrati,Mouna Ben Yahia,Lorenzo Stievano;The Electrochemical Sodiation of Sb Investigated by Operando X-ray Absorption and 121 Sb Mîssbauer Spectroscopy: What Does One Really Learn?;;The Electrochemical Sodiation of Sb Investigated by Operando X-ray Absorption and 121 Sb Mîssbauer Spectroscopy: What Does One Really Learn?;2018;Batteries;;2313-0105;;;en;chim.mate;chim.mate;0.chim,1.chim.mate;;Sb,Alloy reaction,X-ray absorption spectroscopy,Mîssbauer spectroscopy,DFT calculations,Chemometrics,MCR-ALS,Na-ion batteries;;Advanced lithium energy storage systems based on the use of nano-powders and nano-composite electrodes/electrolytes (ALISTORE);In this study\, we want to highlight the assets and restrictions of X-ray absorption spectroscopy (XAS) and Mîssbauer spectroscopy for investigating the mechanism of the electrochemical reaction of antimony electrode materials vs. Na. For this\, operando XAS was carried out during the first one and a half cycles\, and the whole set of measured data was analysed using a statistical-chemometric approach\, while low temperature Mîssbauer spectroscopy measurements were carried out ex situ on selected samples stopped at different points of the electrochemical reaction. Complementary ab initio calculations were performed to support the experimental findings. Both techniques show that\, upon the first sodiation\, most Sb reacts with Na to form disordered Na 3 Sb. This step is accompanied by the formation of amorphous Sb as an intermediate. Upon inversion of the current Na 3 Sb is desodiated and an amorphous Sb phase\, distinct from the pristine bulk Sb state\, is gradually formed. However\, both XAS and Mîssbauer spectroscopy were unable to spot the formation of intermediate Na x Sb phases\, which were evinced in previous works by operando Pair Distribution Function analyses. The results shown here clearly assign such failure to the intrinsic inability of both techniques to identify these intermediates.;hal-01803348;https://hal.archives-ouvertes.fr/hal-01803348;ALI DARWICHE,MARCUS FEHSE,ABDELFATTAH MAHMOUD,CAMILLE FONTAINE,BERNARD FRAISSE,RAPHAEL HERMANN,MARIE-LIESSE DOUBLET,LAURE MONCONDUIT,MOULAY SOUGRATI,MOUNA BEN YAHIA,LORENZO STIEVANO;THE ELECTROCHEMICAL SODIATION OF SB INVESTIGATED BY OPERANDO X-RAY ABSORPTION AND 121 SB MôSSBAUER SPECTROSCOPY: WHAT DOES ONE REALLY LEARN?
Commissariat Ö l'Çnergie atomique et aux Çnergies alternatives,UniversitÇ Grenoble Alpes,UniversitÇ Savoie Mont Blanc,Commissariat Ö l'Çnergie atomique et aux Çnergies alternatives,UniversitÇ Grenoble Alpes;Laboratoire d'Electronique et des Technologies de l'Information,Laboratoire SYstämes et MatÇriaux pour la MEcatronique,Laboratoire d'Electronique et des Technologies de l'Information;Adrien Morel,P. Gasnier,Y. Wanderoild,Gaâl Pillonnet,A. Badel;Short Circuit Synchronous Electric Charge Extraction (SC-SECE) Strategy for Wideband Vibration Energy Harvesting;;Short Circuit Synchronous Electric Charge Extraction (SC-SECE) Strategy for Wideband Vibration Energy Harvesting;27/05/2018;;;;2018 IEEE International Symposium on Circuits and Systems (ISCAS);IEEE;en;spi,spi.nrj,spi.tron,spi.meca;spi;0.spi,0.spi,1.spi.nrj,0.spi,1.spi.tron,0.spi,1.spi.meca;;Short-circuit control,SECE,Piezoelectricity,Interface circuit,Vibration Energy Harvesting,Multiphysics modelling;;;This paper presents an energy harvesting strategy called Short Circuit Synchronous Electric Charge Extraction (SC-SECE)\, which is an improvement of the SECE strategy for highly coupled piezoelectric generators. The SC-SECE strategy is based on the control of a short-circuit through two tuning parameters. The first one\, ° Ê°´? ° Ê°Òß \, represents the phase between the displacement extrema and the energy harvesting event. The second\, ° Ê°¨?° Ê°´?\, is the angle difference between the beginning and end of the short-circuit phase. The performance of this strategy has been compared to other interfaces such as the SECE and the capacitance tuning approach. However\, with the SC-SECE strategy\, both the power and bandwidth are greatly improved. Experimental measurements have been performed on a highly-coupled piezoelectric harvester (k m 2 =0.48) which provides a maximal harvestable power P lim of 6ÊW under an extremely low vibration amplitude (0.03G). We have been able to harvest more than 50% of this P lim over a large frequency band\, from 90Hz to 140Hz. These results demonstrate the excellent potential of this strategy for extending the bandwidth of piezoelectric vibration energy harvesters.;hal-02013371;https://hal.archives-ouvertes.fr/hal-02013371;ADRIEN MOREL,P. GASNIER,Y. WANDEROILD,GA”L PILLONNET,A. BADEL;SHORT CIRCUIT SYNCHRONOUS ELECTRIC CHARGE EXTRACTION (SC-SECE) STRATEGY FOR WIDEBAND VIBRATION ENERGY HARVESTING
Commissariat Ö l'Çnergie atomique et aux Çnergies alternatives,UniversitÇ Grenoble Alpes,STMicroelectronics [Crolles],UniversitÇ Pierre Mendäs France - Grenoble 2,UniversitÇ Joseph Fourier - Grenoble 1,Institut National Polytechnique de Grenoble,Centre National de la Recherche Scientifique,UniversitÇ Grenoble Alpes;Laboratoire d'Electronique et des Technologies de l'Information,Laboratoire d'Informatique de Grenoble;Andreina Liendo,Dominique Morche,Roberto Guizzetti,Franck Rousseau;Efficient Bluetooth Low Energy Operation for Low Duty Cycle Applications;;Efficient Bluetooth Low Energy Operation for Low Duty Cycle Applications;20/05/2018;;;;IEEE International Conference on Communications (ICC'2018);;en;info.info-ni;info.info-ni;0.info,1.info.info-ni;;Internet of Things,Bluetooth Low Energy,Energy Consumption,Battery Lifetime,Critical Latency,Wireless Sensor Networks;;;Bluetooth Low Energy (BLE) has shown higher energy efficiency and robustness than other well known Wireless Sensor Network (WSN) protocols\, making it a strong candidate for implementation in IoT scenarios. In addition\, BLE is in almost every smartphone\, turning it into perfect ubiquitous remote controls for smart homes\, buildings or cities. In this paper we propose new operating modes for BLE to provide a much wider applicability range covering asynchronous\, aperiodic and very low frequency scenarios while extending lifetime\, without modification of the existing BLE specification. In order to estimate battery lifetime\, we propose a coin cell battery model. We show how to efficiently adapt the protocol for different IoT scenarios based on their requirements\, thus extending battery lifetime as much as possible while guaranteeing acceptable latency. Our results on two typical test-cases show that by using an optimized configuration and appropriate operating mode based on scenario requirements\, lifetime can be increased up to ? 2û (4.1 to 7.3 years) for a BLE master in a first case\, and ? 58û (3.05 months to 14.82 years) for a BLE slave in a second case. This shows BLE compatibility with a vast amount of IoT-related use cases.;hal-01775064;https://hal.archives-ouvertes.fr/hal-01775064;ANDREINA LIENDO,DOMINIQUE MORCHE,ROBERTO GUIZZETTI,FRANCK ROUSSEAU;EFFICIENT BLUETOOTH LOW ENERGY OPERATION FOR LOW DUTY CYCLE APPLICATIONS
Centre de DÇveloppement des Energies Renouvelables\, B.P\, 62\, Route de l?Observatoire\, BouzarÇah\, Alger,UniversitÇ Joseph Fourier - Grenoble 1,Institut polytechnique de Grenoble - Grenoble Institute of Technology,Institut Polytechnique de Grenoble - Grenoble Institute of Technology,Centre National de la Recherche Scientifique,UniversitÇ Grenoble Alpes;Laboratoire de GÇnie Electrique de Grenoble;Smail Semaoui,Amar Hadj Arab,Seddik Bacha;Application des modäles mathÇmatiques pour l?optimisation de l?Çnergie dans un systäme PV;Application des modäles mathÇmatiques pour l?optimisation de l?Çnergie dans un systäme PV;;08/06/2019;Revue Africaine de la Recherche en Informatique et MathÇmatiques AppliquÇes;1638-5713;;;;fr;spi.nrj;spi.nrj;0.spi,1.spi.nrj;Optimization,Optimisation,Systäme PV,ModÇlisation mathÇmatique,PV system,Mathematical Models,Simulation;;;;Cet article propose une approche basÇe sur des modäles mathÇmatiques validÇs\, pour l?optimisation de l?Çnergie dans un systäme photovoltaãque (PV) autonome destinÇ Ö l?Çlectrification d?un habitat dans une rÇgion isolÇe. L?objectif attendu est le confort ÇnergÇtique de l?habitat. Le but du travail est de montrer Ö travers la modÇlisation mathÇmatique l?impact du profil dynamique de la consommation ÇnergÇtique sur la fiabilitÇ du systäme PV. Le fonctionnement de ce dernier est reprÇsentÇ par un programme de simulation sous Simulink\, qui dÇcrit le principe de l'Çquilibre ÇnergÇtique entre les sous-systämes\, en utilisant des modäles mathÇmatiques validÇs avec des donnÇes d?entrÇes rÇelles. Les rÇsultats obtenus ont montrÇs une bonne fiabilitÇ des modäles utilisÇs\, pour prÇvoir le fonctionnement optimal du systäme photovoltaãque.,This paper proposes an approach used to optimize the energy for a stand-alone photovoltaic (PV) system in isolated regions. The intended objective is house energy comfort. The aim is to present the impact of flow energy of housing on the system reliability. The operation of stand-alone PV system is represented by a simulation program. This later describes the principle of energy equilibrium among diverse sub-systems\, using different mathematical models of different parts of renewable energy system. The recommended models were implemented via Matlab-Simulink software with real input data. The reliability is achieved by reducing the loss power supply probability criteria\, with improvement of the battery life cycle during the operating years of the PV system.;hal-01735246;https://hal.archives-ouvertes.fr/hal-01735246v2;SMAIL SEMAOUI,AMAR HADJ ARAB,SEDDIK BACHA;
George Washington University,Institut polytechnique de Grenoble - Grenoble Institute of Technology,Centre National de la Recherche Scientifique,UniversitÇ Grenoble Alpes;Department of Mechanical and Aerospace Engineering [Washington],Laboratoire des êcoulements GÇophysiques et Industriels [Grenoble];Daniel Andres Odens Mora Paiba,E. Mu§iz Pladellorens,P. Riera Turr¢,Muriel Lagauzere,Martin Obligado;Energy cascades in active-grid-generated turbulent flows;;Energy cascades in active-grid-generated turbulent flows;2019-10;Physical Review Fluids;;2469-990X;;;en;spi.meca.mefl;spi.meca.mefl;0.spi,1.spi.meca,2.spi.meca.mefl;;;;;"The energy cascade and diverse turbulence properties of active-grid-generated turbulence were studied in a wind tunnel via hot-wire anemometry. To this end\, two active grid protocols were considered. The first protocol is the standard triple-random mode\, where the grid motors are driven with random rotation rates and directions\, which are changed randomly in time. This protocol has been extensively used due to its capacity to produce higher values of Re? than its passive counterpart\, with good statistical homogeneity and isotropy. The second protocol was a static or open grid mode\, where all grid blades were completely open\, yielding the minimum blockage attainable with our grid. Center-line streamwise profiles were measured for both protocols and several inlet velocities. It was found that the turbulent flow generated with the triple-random protocol evolved in the streamwise direction consistently with an energy dissipation scaling of the form ?=C?u'3/L\, with C? being a constant\, L the longitudinal integral length scale\, and u? the rms of the longitudinal velocity fluctuations. Conversely\, for the open-static grid mode\, the energy dissipation followed a nonequilibrium turbulence scaling\, namely\, C??ReG/ReL\, where ReG is a global Reynolds number based on the inlet conditions of the flow and ReL is based on the local properties of the flow downstream the grid. Furthermore\, this open-static grid mode scaling exhibits important differences with other grids\, as the downstream location of the peak of turbulence intensity is a function of the inlet velocity; a remarkable observation that would allow one to study the underlying principles of the transition between equilibrium and nonequilibrium scalings\, which are yet to be understood. It was also found that a rather simple theoretical model can predict the value of C? based on the number density of zero crossings of the longitudinal velocity fluctuations. This theory is valid for both active grid operating protocols (and therefore two different energy cascades).";hal-02308013;https://hal.archives-ouvertes.fr/hal-02308013;DANIEL ANDRES ODENS MORA PAIBA,E. MU•IZ PLADELLORENS,P. RIERA TURR‡,MURIEL LAGAUZERE,MARTIN OBLIGADO;ENERGY CASCADES IN ACTIVE-GRID-GENERATED TURBULENT FLOWS
Centre National de la Recherche Scientifique,UniversitÇ Savoie Mont Blanc,Institut National Polytechnique de Grenoble,UniversitÇ Joseph Fourier - Grenoble 1,Institut polytechnique de Grenoble - Grenoble Institute of Technology,UniversitÇ Grenoble Alpes,University of Montreal [Canada],UniversitÇ Sciences et Technologies - Bordeaux 1,Institut Polytechnique de Bordeaux,Centre National de la Recherche Scientifique;Institut de MicroÇlectronique\, ElectromagnÇtisme et Photonique - Laboratoire d'HyperfrÇquences et CaractÇrisation,Laboratoire de l'intÇgration\, du matÇriau au systäme;E. Vandelle,D. Bui,T.P. Vuong,G. Ardila,K. Wu,S. Hemour;Harvesting Ambient RF Energy Efficiently With Optimal Angular Coverage;;Harvesting Ambient RF Energy Efficiently With Optimal Angular Coverage;20/12/2019;IEEE Transactions on Antennas and Propagation;;0018-926X;;;en;spi.nano;spi.nano;0.spi,1.spi.nano;;Solid angle,Harvesting capability,Ambient RF energy harvesting,Efficiency pattern,Quasi-isotropic radiation,Beam forming network BFN,Miniaturized Butler matrix,Rectenna,High gain;STICK'IT;CONVERGENCE;Ambient electromagnetic and RF energy is an ubiquitous energy resource that is found everywhere but difficult to harvest because of the time-varying orientation of incoming radiations and the low efficiency of RF rectifiers resulting from a low input power density operation. In response to these two challenges that come with the design of rectennas for ambient energy harvesting\, this paper discusses a Figure-of-Merit to evaluate the rectenna performance that combines the rectification efficiency\, the radiation efficiency\, and the spherical coverage of the antenna. To illustrate this proposed Figure-of-Merit\, a rectenna with a strengthen RF-to-DC efficiency and also a full spatial coverage is designed using beam-forming networks. The resulting system is demonstrated for a wireless sensor mounted on a pole. To maintain a reasonable size of the prototype\, a miniaturization technique of a 4x4 Butler matrix is investigated\, which allows for the reduction of the footprint of the Butler matrix by 2 compared to its classical microstrip design counterpart at 2.4 GHz. The overall rectification efficiency and DC power patterns are reported for the elevation plane of one multidirectional rectenna at 2.4 GHz for an incident power density of 0.45 ?W.cm-2. It is shown that the system can triple the DC output power compared to a 3-dipole counterpart occupying the same area. Furthermore\, while the maximum harvesting capability at 1 ?W.cm-2 does not exceed 28? %.steradian in the literature\, it reaches 43.6? %.steradian with the proposed demonstrator.;hal-02056987;https://hal.archives-ouvertes.fr/hal-02056987;E. VANDELLE,D. BUI,T.P. VUONG,G. ARDILA,K. WU,S. HEMOUR;HARVESTING AMBIENT RF ENERGY EFFICIENTLY WITH OPTIMAL ANGULAR COVERAGE
University of Oxford [Oxford],Institut polytechnique de Grenoble - Grenoble Institute of Technology,Centre National de la Recherche Scientifique,UniversitÇ Grenoble Alpes,Royal Institute of Technology [Stockholm];Department of Atmospheric\, Oceanic and Planetary Physics [Oxford],Laboratoire des êcoulements GÇophysiques et Industriels [Grenoble],LinnÇ FLOW Center [Stockholm];Peter L. Read,Fachreddin Tabataba-Vakili,Yixiong Wang,Pierre Augier,Erik Lindborg,Alexandru Valeanu,Roland M. B. Young;Comparative terrestrial atmospheric circulation regimes in simplified global circulation models. Part II: Energy budgets and spectral transfers;;Comparative terrestrial atmospheric circulation regimes in simplified global circulation models. Part II: Energy budgets and spectral transfers;26/11/2018;Quarterly Journal of the Royal Meteorological Society;;0035-9009;;;en;phys.meca.mefl;phys.meca.mefl;0.phys,1.phys.meca,2.phys.meca.mefl;;;;;The energetics of possible global atmospheric circulation patterns in an Earth?like atmosphere are explored using a simplified global General Circulation Model (GCM) based on the University of Hamburg's Portable University Model for the Atmosphere (designated here as PUMA?S)\, forced by linear relaxation towards a prescribed temperature field and subject to Rayleigh surface drag and hyperdiffusive dissipation. Results from a series of simulations\, obtained by varying planetary rotation rate ? with an imposed equator?to?pole temperature difference\, were analysed to determine the structure and magnitude of the heat transport and other contributions to the energy budget for the time?averaged\, equilibrated flow. These show clear trends with rotation rate\, with the most intense Lorenz energy cycle for an Earth?sized planet occurring with a rotation rate around half that of the present?day Earth (i.e.\, ???=??/? E =?1/2\, where ? E is the rotation rate of the Earth). Kinetic energy (KE) and available potential energy (APE) spectra\, E K (n) and E A (n) (where n is total spherical wavenumber)\, also show clear trends with rotation rate\, with n ?3 enstrophy?dominated spectra around ???=?1 and steeper (?n ?5) slopes in the zonal mean flow with little evidence for the n ?5/3 spectrum anticipated for an inverse KE cascade. Instead\, both KE and APE spectra become almost flat at scales larger than the internal Rossby radius\, L d \, and exhibit near?equipartition at high wavenumbers. At ???<?<1\, the spectrum becomes dominated by KE with E K (n)?(2?3)E A (n) at most wavenumbers and a slope that tends towards n ?5/3 across most of the spectrum. Spectral flux calculations show that enstrophy and APE are almost always cascaded downscale\, regardless of rotation rate. KE cascades are more complicated\, however\, with downscale transfers across almost all wavenumbers\, dominated by horizontally divergent modes\, for urn:x-wiley:qj:media:qj3351:qj3351-math-0001. At higher rotation rates\, transfers of KE become increasingly dominated by rotational (horizontally nondivergent) components with strong upscale transfers (dominated by eddy?zonal flow interactions) for scales larger than L d and weaker downscale transfers for scales smaller than L d .;hal-01935234;https://hal.archives-ouvertes.fr/hal-01935234;PETER L. READ,FACHREDDIN TABATABA-VAKILI,YIXIONG WANG,PIERRE AUGIER,ERIK LINDBORG,ALEXANDRU VALEANU,ROLAND M. B. YOUNG;COMPARATIVE TERRESTRIAL ATMOSPHERIC CIRCULATION REGIMES IN SIMPLIFIED GLOBAL CIRCULATION MODELS. PART II: ENERGY BUDGETS AND SPECTRAL TRANSFERS
Centre National de la Recherche Scientifique,Observatoire de la Cìte d'Azur,Institut national des sciences de l'Univers,UniversitÇ Nice Sophia Antipolis,Institut de Recherche pour le DÇveloppement,Lawrence Berkeley National Laboratory [Berkeley],UniversitÇ Grenoble Alpes,Centre National de la Recherche Scientifique,UniversitÇ Savoie Mont Blanc,PRES UniversitÇ de Grenoble,Institut de recherche pour le dÇveloppement [IRD] : UR219,Institut national des sciences de l'Univers,Institut Franáais des Sciences et Technologies des Transports\, de l'AmÇnagement et des RÇseaux,UniversitÇ Joseph Fourier - Grenoble 1;GÇoazur,Institut des Sciences de la Terre;Louis de Barros,FrÇdÇric Cappa,Yves Guglielmi,Laure Duboeuf,Jean-Robert Grasso;Energy of injection-induced seismicity predicted from in-situ experiments;;Energy of injection-induced seismicity predicted from in-situ experiments;2019-12;Scientific Reports;2045-2322;2045-2322;;;en;sdu.stu;sdu.stu;0.sdu,1.sdu.stu;;;;;The ability to predict the magnitude of an earthquake caused by deep fluid injections is an important factor for assessing the safety of the reservoir storage and the seismic hazard. Here\, we propose a new approach to evaluate the seismic energy released during fluid injection by integrating injection parameters\, induced aseismic deformation\, and the distance of earthquake sources from injection. We use data from ten injection experiments performed at a decameter scale into fault zones in limestone and shale formations. We observe that the seismic energy and the hydraulic energy similarly depend on the injected fluid volume (V)\, as they both scale as V3/2. They show\, however\, a large discrepancy\, partly related to a large aseismic deformation. Therefore\, to accurately predict the released seismic energy\, aseismic deformation should be considered in the budget through the residual deformation measured at the injection. Alternatively\, the minimal hypocentral distance from injection points and the critical fluid pressure for fault reactivation can be used for a better prediction of the seismic moment in the total compilation of earthquakes observed during these experiments. Complementary to the prediction based only on the injected fluid volume\, our approach opens the possibility of using alternative monitoring parameters to improve traffic-light protocols for induced earthquakes and the regulation of operational injection activities.;hal-02171167;https://hal.archives-ouvertes.fr/hal-02171167;LOUIS DE BARROS,FRêDêRIC CAPPA,YVES GUGLIELMI,LAURE DUBOEUF,JEAN-ROBERT GRASSO;ENERGY OF INJECTION-INDUCED SEISMICITY PREDICTED FROM IN-SITU EXPERIMENTS
