instStructName_s;labStructName_s;thesisSchool_s;authFullName_s;title_s;defenseDate_s;language_s;committee_s;director_s;domainAllCode_s;keyword_s;nntId_id;anrProjectAcronym_s;europeanProject;uri_s
Commissariat à l'énergie atomique et aux énergies alternatives,Université Grenoble Alpes [2016-2019];Institut Nanosciences et Cryogénie;École doctorale physique (Grenoble);Jean-Eudes Duvauchelle;Effet d'une irradiation micro-onde sur la réponse électronique de Tri-Jonctions Josephson : mise en évidence de modes de quartets cohérents,Effect of a microwave irradiation on the electronic response of Josephson Three-Junctions : highlighting coherents quartets modes;18/12/2015;fr;Julia Meyer [Président],Sophie Guéron [Rapporteur],Thibault Jonckheere [Rapporteur],Marcelo Fabian Goffman;François Lefloch,Hervé Courtois;phys.cond;Quantum,Hybrid,Entangled Cooper pair,Superconductors,Nanostructure,Nanostructure,Supraconducteur,Paires de Cooper intriquées,Hybride,Quantique;;;;https://tel.archives-ouvertes.fr/tel-01686394
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Safeer Chenattukuzhiyil;Etude de la dynamique des parois de domaine magnétique en présence d'un fort couplage spin orbite : amortissement chiral et origami magnétique,Study of domain wall dynamics in the presence of large spin orbit coupling : chiral damping and magnetic origami;27/10/2015;en;Stefania Pizzini [Président],Bert Koopmans [Rapporteur],Joerg Wunderlich [Rapporteur],Ioan Mihai Miron,Teruo Ono,Aurélien Manchon;Gilles Gaudin;phys.cond.cm-ms;Memory and logic devices,Magnetic domain wall,Spin orbit interaction,Spin transfer torque,Spin orbit torque,Parois de domaine magnétique,Spin orbite,Couple de transfert de spin,Couple de spin orbite,Application mémoire / Logique;;;;https://tel.archives-ouvertes.fr/tel-01686487
Commissariat à l'énergie atomique et aux énergies alternatives,Université Grenoble Alpes [2016-2019];Institut Nanosciences et Cryogénie;École doctorale physique (Grenoble);Alexander Grimm;Josephson photonics : Statistics of photons emitted by inelastic Cooper pair tunneling,Photonique Josephson : statistique des photons émis par effet tunnel inélastique de paires de Cooper;02/10/2015;en;Jean-Michel Gérard [Président],Andreas Wallraff [Rapporteur],Joachim Ankerhold [Rapporteur],Max Hofheinz,Gerhard Kirchmair;Olivier Buisson;phys.cond;Quantum nanolectronics,Circuit QED,Josephson photonics,Mcirowave quantum optics,Superconducting circuits,Nano-Éléctronique quantique,Photonique Josephson,Circuit QED,Circuits supraconducteurs,Optique quantique microonde;;;;https://tel.archives-ouvertes.fr/tel-01686582
Université Joseph Fourier - Grenoble 1,Institut polytechnique de Grenoble - Grenoble Institute of Technology,Centre National de la Recherche Scientifique;Institut Néel;École doctorale physique (Grenoble);Cle?ment Bouvier;Preuves expérimentales d'un transport de surface sur un isolant topologique 3D HgTe/CdTe sus contrainte,Experimental proofs of surface transport from a 3D topological insulator of strained bulk HgTe/CdTe;16/07/2013;fr;David Carpentier [Président],Ulf Gennser [Rapporteur],Denis-Christian Glattli [Rapporteur],Tristan Meunier;Laurent-Patrick Lévy,Franck Balestro;phys.cond.cm-ms;Dirac cone,Quantum Hall effect,Topological insulator,Isolant topologique,Effet Hall quantique,Magneto-transport,Cône de Dirac,HgTe/CdTe;;;;https://tel.archives-ouvertes.fr/tel-01558284
Centre National de la Recherche Scientifique,Université Savoie Mont Blanc,Commissariat à l'énergie atomique et aux énergies alternatives;Laboratoire d'Innovation pour les Technologies des Energies Nouvelles et les nanomatériaux;École doctorale Ingénierie - matériaux mécanique énergétique environnement procédés production (Grenoble);Anthony Cabos;Nouveaux nanomatériaux pour la fabrication d'électrodes flexibles transparentes,New nanomaterials for manufacturing flexible transparent electrodes;05/10/2017;fr;Daniel Bellet [Président],Mohamed-Abdou Djouadi [Rapporteur],Arnaud Brioude [Rapporteur],Eric Lafontaine;Jean-Pierre Simonato,Caroline Celle;phys.cond.cm-ms;Flexibility,Stability,Percolative network,Copper nanowire,Transparent electrode,Thin film heater,Film chauffant,Stabilité,Flexibilité,Réseau percolant,Nanofils de cuivre,Électrode transparente;;;;https://tel.archives-ouvertes.fr/tel-01763643v2
Institut National de Physique Nucléaire et de Physique des Particules du CNRS,Université Savoie Mont Blanc,Centre National de la Recherche Scientifique;Laboratoire d'Annecy de Physique des Particules;École doctorale physique (Grenoble);Olympia Dartsi;Search for the electroweak production of Z? pairs and measurement of the differential cross section of the Z? production in association with two jets with the ATLAS experiment at LHC,Recherche de la production électrofaible de paires Z? et mesure de la section efficace différentielle de production de Z? en association avec deux jets dans l'ATLAS expérience du LHC;03/10/2019;en;Giovanni Lamanna [Président],Philippe Schwemling [Rapporteur],Chariclia Petridou [Rapporteur],Evelin Meoni,Francesco Polci;Lucia Di Ciaccio;phys.hexp;Standard Model,Electroweak,Dibosons,Standard Model,Electrofaible,Dibosons;;;;https://tel.archives-ouvertes.fr/tel-03028197
Institut National de Physique Nucléaire et de Physique des Particules du CNRS,Université Savoie Mont Blanc,Centre National de la Recherche Scientifique;Laboratoire d'Annecy de Physique des Particules;École doctorale physique (Grenoble);Quentin Piel;Mise en route du premier grand télescope de CTA et étude de sources de rayons gamma transitoires,Commissioning of the first CTA large size telescope and study of transient gamma-ray sources;05/07/2019;fr;Edwige Tournefier [Président],Julien Bolmont [Rapporteur],Oscar Blanch Bigas [Rapporteur],Maria Grazia-Bernardini,Guillaume Dubus;Jean-Pierre Lees,Armand Fiasson;sdu.astr,phys.astr.im;Gamma-Rays,Cta,Lst,Transients,Rayons gamma,Cta,Lst,Transitoire;;;;https://tel.archives-ouvertes.fr/tel-03027165
Commissariat à l'énergie atomique et aux énergies alternatives,Université Grenoble Alpes [2016-2019];Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Maxime Morinie?re;Formalismes et méthodes pour le calcul de la réponse linéaire des systèmes isolés,Computational methodologies for the linear response of isolated systems;15/12/2016;fr;Mark Earl Casida [Président],Eleonora Luppi [Rapporteur],Eric Cancès [Rapporteur],Fernand Spiegelman,Luigi Genovese;Thierry Deutsch;phys.cond.cm-gen;Many-Body perturbation theory,Excited states,Resonant states,États résonants,TDDFT,Physique du solide;;;;https://tel.archives-ouvertes.fr/tel-01699343
Commissariat à l'énergie atomique et aux énergies alternatives,Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Laboratoire des technologies de la microélectronique,Commissariat à l'énergie atomique et aux énergies alternatives - Laboratoire d'Electronique et de Technologie de l'Information;École doctorale physique (Grenoble);Joyce Roque;Corrélation luminescence/défauts étendus dans les structures à puits quantique InGaAs épitaxiées sélectivement sur substrats Si,Correlation of luminescence/defects extended in InGaAs quantum well structures selectively epitaxied on Si patterned substrates for FinFET applications;17/12/2018;fr;Thierry Baron [Président],Bruno Masenelli [Rapporteur],Fabrice Semond [Rapporteur],Ludovic Desplanque,Yamina André,Sylvain David,Ne?vine Rochat;François Bertin;phys.cond.cm-ms;III-V materials,Thin film,Structural defects,Cathodoluminescence,STEM,TEM,Matériaux III-V,Couche mince,Défauts structuraux,Cathodoluminescence,STEM,TEM;;;;https://tel.archives-ouvertes.fr/tel-02183961
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Anike Purbawati;Frequency modulation of spin torque nano-oscillators (STNOs) for wireless communication applications,Modulation de la fréquence d'un oscillateur spintronique (STNO) pour des applications de communication sans fil;17/07/2017;en;Olivier Fruchart [Président],Mathias Kla?ui [Rapporteur],Jean-Philippe Ansermet [Rapporteur],Grégoire de Loubens;Ursula Ebels,Liliana Buda-Prejbeanu;info.info-ni,phys.cond.cm-gen;Data rate,Frequency shift keying,Relaxation frequency,Magnetic tunnel junction,Spin transfer nano-oscillators,Débit de données,Modulation par déplacement de fréquence,Fréquence de relaxation,Jonction tunnel magnétique,Nano-oscillateurs à transfert de spin;;;;https://tel.archives-ouvertes.fr/tel-01663773
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Gilles Zahnd;Effets d'accumulation de spin et de magnétorésistance dans des nanostructures latérales,Spin accumulation effects and magnetoresistance effects in lateral nanostructures;15/11/2017;fr;Jan Vogel [Président],Julie Grollier [Rapporteur],André Thiaville [Rapporteur],Joo-Von Kim;Jean-Philippe Attané,Laurent Vila;phys.cond.cm-ms;Transport,Spintronics,Spin-Orbit,Transport,Spintronique,Courant de Spin;;;;https://tel.archives-ouvertes.fr/tel-01791039v2
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);van Tuong Pham;Ferromagnetic/nonmagnetic nanostructures for the electrical measurement of the Spin Hall effect and the detection of domain walls,Nanostructures ferromagnétiques/non-magnétiques pour la mesure électrique de l'effet Spin Hall et la détection de murs de domaine;12/05/2017;en;Olivier Fruchart [Président],Dafine? Ravelosona [Rapporteur],David Halley [Rapporteur],Stefania Pizzini;Jean-Philippe Attané,Laurent Vila;phys.cond.cm-ms;Spin Hall Effect,Transport,Nanomagnetism,Spintronics,Effet Spin Hall,Transport,Nanomagnétisme,Spintronique;;;;https://tel.archives-ouvertes.fr/tel-01665346
Commissariat à l'énergie atomique et aux énergies alternatives,Université Grenoble Alpes [2016-2019];Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Maxime Boniface;Nanoscale evolution of silicon electrodes for Li-ion batteries by low-loss STEM-EELS,Suivi à l'échelle nanométrique de l'évolution d'une électrode de silicium dans un accumulateur Li-ion par STEM-EELS;22/12/2017;en;Ovidiu Ersen [Président],Gianluigi Botton [Rapporteur],Laurence Croguennec [Rapporteur],Cédric Haon;Pascale Bayle-Guillemaud,Saïd Sadki;phys.cond.cm-ms;EELS,Li-Ion batteries,In situ TEM,Silicon,Batteries Li-Ion,In situ TEM,Silicium,EELS;;;;https://tel.archives-ouvertes.fr/tel-01730501
Commissariat à l'énergie atomique et aux énergies alternatives,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Commissariat à l'énergie atomique et aux énergies alternatives - Laboratoire d'Electronique et de Technologie de l'Information,Institut Nanosciences et Cryogénie;École doctorale physique (Grenoble);Aymeric Tuaz;Investigations structurales haute-résolution de photodiodes infrarouges de nouvelle génération,High-resolution structural investigation of next generation infrared detectors;21/12/2017;fr;Hubert Renevier [Président],Olivier Thomas [Rapporteur],Gilles Patriarche [Rapporteur],Laurent Rubaldo,Raphaël Pesci;François Rieutord,Philippe Ballet,Xavier Biquard;phys.cond.cm-ms;Structural investigation,HgCdTe,Infrared detectors,Investigations structurales,CdHgTe,Photodiodes infrarouges;;;;https://tel.archives-ouvertes.fr/tel-01822798
Commissariat à l'énergie atomique et aux énergies alternatives,Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019];Laboratoire des technologies de la microélectronique;École doctorale physique (Grenoble);Manon Tardif;Piégeage et caractérisation de bactéries par cristaux photoniques,Characterisation of bacteria by trapping on 1D and 2D photonic crystals;19/11/2018;fr;Éric Lacot [Président],Yong Chen [Rapporteur],Sile Gearoidin Nic Chormaic [Rapporteur],Romuald Houdré,Frédéric Mallard;David Peyrade,Emmanuel Picard,Pierre Marcoux;phys.phys.phys-bio-ph;Bacterial diagnosis,Electromagnetic mode,Optical trap,Photonic crystals,Bacteria,Mode électromagnétique,Piège optique,Cristaux photoniques,Bactéries,Diagnostic bactérien;;;;https://tel.archives-ouvertes.fr/tel-02052814
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Lamprini Frangou;Spin injection\, transmission and detection in antiferromagnets,Injection\, transmission et détection de spin dans les matériaux antiferromagnétiques;14/11/2017;en;Stefania Pizzini [Président],Alexandra Mougin [Rapporteur],Joerg Wunderlich [Rapporteur],Michel Viret;Vincent Baltz;phys.cond.cm-ms;Phase transition,Spin pumping,Spin dependent transport,Exchange bias,Spintronics,Antiferromagnets,Transition de phase,Antiferromagnétiques,Spintronique,Couplage d'échange,Transport dépendant du spin,Pompage de spin;;;;https://tel.archives-ouvertes.fr/tel-01788513
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Chloe? Bouard;Elaboration et caractérisation de systèmes magnétiques pour l'observation de skyrmions,Elaboration and characterization of magnetic systems for skyrmion observations;07/12/2017;fr;André Thiaville [Président],Marie-José Casanove [Rapporteur],Thomas Hauet [Rapporteur],Véronique Pierron-Bohnes,Bruno Gilles,Patrick Warin;Alain Marty;phys.cond.cm-gen;Magnetic imaging,Magnetotransport,Spintronic,Skyrmion,Skyrmion,Spintronique,Magnéto-Transport,Imagerie magnétique;;;;https://tel.archives-ouvertes.fr/tel-01795029
Université Joseph Fourier - Grenoble 1,Institut National de la Recherche Agronomique,Commissariat à l'énergie atomique et aux énergies alternatives,Centre National de la Recherche Scientifique;Laboratoire de physiologie cellulaire végétale;École doctorale physique (Grenoble);Cristian Suarez;ADF/cofiline\, un facteur essentiel dans le contrôle de la dynamique de l'actine au cours de la motilité cellulaire,ADF/cofiline\, an essential factor that controls actin dynamics during cell motility.;16/09/2011;fr;Franz Brückert [Président],Henry n. Higgs [Rapporteur],Cecile Sykes [Rapporteur],Christophe Le clainche,Jean-Louis Martiel;Laurent Blanchoin;phys.cond.cm-gen;Cell motility,ADF/cofilin,Cytoskeleton,Actin,Motilité cellulaire,Actine,Cytosquelette,ADF/cofiline;;;;https://tel.archives-ouvertes.fr/tel-00638733
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Mathieu-Bhayu Fabre;Manipulation and detection of spin waves using spin-orbit interaction in ultrathin perpendicular anisotropy Ta/FeCoB/MgO waveguides,Manipulation et détection d'ondes de spin via l'interaction spin-orbite dans des guides d'ondes ultraminces Ta/FeCoB/MgO à anisotropie perpendiculaire;10/07/2019;en;Olivier Fruchart [Président],Joo-Von Kim [Rapporteur],Grégoire de Loubens [Rapporteur],Dirk Grundler;Ursula Ebels,Gilles Gaudin;phys.cond;Spintronic,Spin waves,Coplanar waveguide,Spin-Orbit,Spin Hall,CoFeB,Spintronique,Ondes de spin,Ligne coplanaire,Spin-Orbite,Spin Hall,CoFeB;;;;https://tel.archives-ouvertes.fr/tel-02461334
Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut Nanosciences et Cryogénie;École doctorale physique (Grenoble);Ke?vin Guilloy;Germanium déformé pour l'émission de lumière,Strained germanium for light emission;05/07/2016;fr;Philippe Boucaud [Président],Christophe Delerue [Rapporteur],Nicolas Pauc,Jean-Michel Gérard;Vincent Calvo;phys.cond.cm-ms;Spectroscopy,Optics,Laser,Strain,Germanium,Photonics,Photonique,Germanium,Déformation,Laser,Optique,Spectroscopie;;;;https://tel.archives-ouvertes.fr/tel-01456920
Université Joseph Fourier - Grenoble 1,Institut National de la Recherche Agronomique,Commissariat à l'énergie atomique et aux énergies alternatives,Centre National de la Recherche Scientifique;Laboratoire de physiologie cellulaire végétale;École doctorale physique (Grenoble);Qingzong Tseng;Etude d'architecture multicellulaire avec le microenvironnement contrôlé,Study of multicellular architecture with controlled microenvironment;01/07/2011;fr;Corinne Albiges-Rizo [Président],Fernando Martin-Belmonte [Rapporteur],Carl-Philipp Heisenberg [Rapporteur],Bruno Goud,Marc Billaud;Manuel Théry;phys.cond.cm-gen;Morphogenesis,Micropattern,Image analysis,Cytoskeleton,Traction force microscope,Polarity,Polarité,Cytosquelette,Microscopie du Traction Force,Analyse d'image,Morphogènese,Micropattern;;;;https://tel.archives-ouvertes.fr/tel-00622264
Institut National de Physique Nucléaire et de Physique des Particules du CNRS,Université Savoie Mont Blanc,Centre National de la Recherche Scientifique;Laboratoire d'Annecy de Physique des Particules;École doctorale physique (Grenoble);Sami Caroff;Mesures du flux d'électrons\, du flux de positons\, et de leur rapport avec l'expérience AMS-02 : interprétation en terme de matière noire et pulsars,Measurement of the positron fraction and of the electron and positron fluxes with the AMS-02 experiment and interpretation in terms of dark matter and pulsars;04/10/2016;fr;Giovanni Lamanna [Président],Marco Cirelli [Rapporteur],Martin Pohl [Rapporteur],Vitaly Choutko,Pierre Salati;Vincent Poireau;phys.astr.ga;Cosmic ray propagation,Pulsar,Ams,Dark matter,Positron,Cosmic rays,Matière noire,Positon,Rayons cosmiques,Ams,Pulsar,Propagation des rayons cosmiques;;;;https://tel.archives-ouvertes.fr/tel-01586243
Centre National de la Recherche Scientifique,Université Grenoble Alpes [2016-2019],Commissariat à l'énergie atomique et aux énergies alternatives;Institut de Recherche Interdisciplinaire de Grenoble;École doctorale physique (Grenoble);Je?ro?me Hem;Mécanismes de synchronisation dans les oscillateurs à transfert de spin,Synchronization mechanisms of spin transfer oscillators;08/02/2018;fr;Olivier Fruchart [Président],Nicolas Vukadinovic [Rapporteur],Julie Grollier [Rapporteur],Grégoire de Loubens;Ursula Ebels,Liliana Buda-Prejbeanu;phys.cond.cm-ms;Spintronics,Magnetization dynamcis,Nanotechnology,Synchronization,Spintronique,Dynamique d'aimantation,Nanotechnologie,Synchronisation;;;;https://tel.archives-ouvertes.fr/tel-01827703
