halId_s;version_i;uri_s;docType_s;doiId_s;nntId_s;title_s;subTitle_s;authFullName_s;producedDate_s;domain_s;journalTitle_s;journalPublisher_s;volume_s;number_s;page_s;en_keyword_s;keyword_s;fr_keyword_s;conferenceTitle_s;conferenceStartDate_s;country_s;language_s;inPress_bool
hal-02621814;1;https://hal.inrae.fr/hal-02621814;ART;10.3382/ps/pey267;;Use of computed tomography to determine body composition of heavy strain turkey hens (Meleagris gallopavo) from rearing to early laying;;Marine Dewez,Patrice Etourneau,François Lecompte,Sylvain Brière,Pascal Froment;2018;0.sdv,1.sdv.ba,0.sdv,1.sdv.bdlr;Poultry Science;Poultry Science Association;97;;4093–4106;Turkey,Hens,Body composition,Reproduction,Computed tomography;Turkey,Hens,Body composition,Reproduction,Computed tomography;;;;;en;false
hal-01897059;1;https://hal.archives-ouvertes.fr/hal-01897059;ART;10.3390/ma11101984;;Two-Scale Tomography Based Finite Element Modeling of Plasticity and Damage in Aluminum Foams;;Yasin Amani,Sylvain Dancette,Eric Maire,Jérôme Adrien,Joël Lachambre;2018-10;0.spi,1.spi.mat;Materials;MDPI;11;;1984;Damage,Aluminum foams,Intermetallics,X-ray tomography,Finite element analysis;Damage,Aluminum foams,Intermetallics,X-ray tomography,Finite element analysis;;;;;en;false
hal-02271802;1;https://hal.archives-ouvertes.fr/hal-02271802;ART;10.3390/ma11101984;;Two-Scale Tomography Based Finite Element Modeling of Plasticity and Damage in Aluminum Foams;;Yasin Amani,Sylvain Dancette,Éric Maire,Jérôme Adrien,Joël Lachambre;2018-10;0.spi,0.spi,1.spi.mat;Materials;MDPI;11;;1984;Damage,Aluminum foams,Intermetallics,X-ray tomography,Finite element analysis;Damage,Aluminum foams,Intermetallics,X-ray tomography,Finite element analysis;;;;;en;false
hal-01890580;1;https://hal.archives-ouvertes.fr/hal-01890580;ART;10.1016/j.actamat.2018.08.030;;Compression behavior of lattice structures produced by selective laser melting: X-ray tomography based experimental and finite element approaches;;Yasin Amani,Sylvain Dancette,Pauline Delroisse,Aude Simar,Eric Maire;2018-10;0.spi,1.spi.mat;Acta Materialia;Elsevier;159;;395 - 407;Additive manufacturing,Aluminum lattice,Ductile fracture,3D image analysis,Finite element modeling;Additive manufacturing,Aluminum lattice,Ductile fracture,3D image analysis,Finite element modeling;;;;;en;false
hal-01916792;1;https://hal.archives-ouvertes.fr/hal-01916792;ART;10.1016/j.nme.2018.03.007;;Crack bridging in as-fabricated and embrittled tungsten single fibre-reinforced tungsten composites shown by a novel in-situ high energy synchrotron tomography bending test;;J. Riesch,J. -Y. Buffiere,T. Hoeschen,M. Scheel,Ch. Linsmeier,J. -H. You;2018;0.sdv;Nuclear Materials and Energy;Elsevier;15;;2019-12-01T00:00:00;INTERFACIAL SHEAR-STRENGTH,DIFFERENT HEAT-TREATMENTS,PLASMA-FACING COMPONENTS,X-RAY TOMOGRAPHY,MECHANICAL-PROPERTIES,MATRIX COMPOSITES,TI/SIC COMPOSITES,TEMPERATURE,CERAMICS,BEHAVIOR;INTERFACIAL SHEAR-STRENGTH,DIFFERENT HEAT-TREATMENTS,PLASMA-FACING COMPONENTS,X-RAY TOMOGRAPHY,MECHANICAL-PROPERTIES,MATRIX COMPOSITES,TI/SIC COMPOSITES,TEMPERATURE,CERAMICS,BEHAVIOR;;;;;en;false
hal-01916279;1;https://hal.archives-ouvertes.fr/hal-01916279;ART;10.1016/j.ijfatigue.2018.06.042;;3D characterization of the propagation of small fatigue cracks in steels with different forging conditions;;P. Lorenzino,J.-Y. Buffiere,C. Verdu;2018;0.spi,1.spi.mat;International Journal of Fatigue;Elsevier;115;;02-oct;Fatigue crack propagation,Fatigue testing,Forging,Metal cleaning,Microstructure,Tomography,X rays,Crack closure effects,Fatigue cracks,Forged steel,Shotblasting,Small fatigue cracks,Subsurface microstructure,Synchrotron X-ray tomography,X-ray tomography,Fatigue of materials,High strength steel,Crack closure,Mechanical variables measurement,Imaging systems;Fatigue crack propagation,Fatigue testing,Forging,Metal cleaning,Microstructure,Tomography,X rays,Crack closure effects,Fatigue cracks,Forged steel,Shotblasting,Small fatigue cracks,Subsurface microstructure,Synchrotron X-ray tomography,X-ray tomography,Fatigue of materials,High strength steel,Crack closure,Mechanical variables measurement,Imaging systems;;;;;en;false
hal-01980505;1;https://hal-ifp.archives-ouvertes.fr/hal-01980505;ART;10.1016/j.jcat.2018.07.024;;Effect of reduction on Co catalyst active phase highlighted by an original approach coupling ASAXS and electron tomography;;S. Humbert,G. Desjouis,T. Bizien,L. Lemaitre,A. Taleb,C. Dalverny,L. Sorbier,A Gay;2018-10;0.chim,1.chim.cata;Journal of Catalysis;Elsevier;366;;202-212;Nanoparticles,Cobalt,Catalyst,Fischer-Tropsch,Electron tomography,TEM,ASAXS;Nanoparticles,Cobalt,Catalyst,Fischer-Tropsch,Electron tomography,TEM,ASAXS;;;;;en;false
hal-01916290;1;https://hal.archives-ouvertes.fr/hal-01916290;ART;10.1016/j.scriptamat.2018.08.001;;3D characterization of partially recrystallized Al using high resolution diffraction contrast tomography;;J. Sun,T. Yu,C. Xu,W. Ludwig,Y. Zhang;2018;0.spi,1.spi.mat;Scripta Materialia;;157;;72-75;Aluminum,Backscattering,Crystallization,Diffraction,Recrystallization metallurgy,Tomography,3D characterization,3D reconstruction,Diffraction contrast,Electron back-scattered diffraction,Electron backscattering diffraction,Recrystallized grains,Schwartz-Saltykov analysis,Synchrotron diffraction,Image reconstruction;Aluminum,Backscattering,Crystallization,Diffraction,Recrystallization metallurgy,Tomography,3D characterization,3D reconstruction,Diffraction contrast,Electron back-scattered diffraction,Electron backscattering diffraction,Recrystallized grains,Schwartz-Saltykov analysis,Synchrotron diffraction,Image reconstruction;;;;;en;false
hal-01678995;2;https://hal.archives-ouvertes.fr/hal-01678995v2;ART;;;Multiresolution greedy algorithm dedicated to reflective tomography;;Jean-Baptiste Bellet;2018;0.spi,1.spi.signal;SMAI Journal of Computational Mathematics;Société de Mathématiques Appliquées et Industrielles (SMAI);4;;259-296;;;;;;;en;false
hal-01811225;1;https://hal-ensta-bretagne.archives-ouvertes.fr/hal-01811225;ART;10.1051/matecconf/201816522026;;Complex fibers orientation distribution evaluation in short glass fiber-reinforced thermoplastic (PA66 GF50);;Prashanth Santharam,Thomas Parenteau,Pierre Charrier,Denis Taveau,Vincent Le Saux,Yann Marco;2018;0.spi,0.spi,1.spi.mat;MATEC Web of Conferences;EDP sciences;165;;;;;;;;;en;false
hal-02975859;1;https://hal.archives-ouvertes.fr/hal-02975859;ART;10.1098/rsta.2017.0057;;X-ray physico-chemical imaging during activation of cobalt-based Fischer-Tropsch synthesis catalysts;;Andrew M. Beale,Simon D. M. Jacques,Marco Di Michiel,J. Frederick W. Mosselmans,Stephen W. T. Price,Pierre Senecal,Antonios Vamvakeros,James Paterson;2018;0.phys;Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences;Royal Society, The;376;;20170057-1-20170057-14;IN-SITU,TOMOGRAPHY,PHASE,SIZE,RE,MICROSCOPY,PARTICLE,STATE;IN-SITU,TOMOGRAPHY,PHASE,SIZE,RE,MICROSCOPY,PARTICLE,STATE;;;;;en;false
hal-01637162;1;https://hal.archives-ouvertes.fr/hal-01637162;ART;10.1097/RCT.0000000000000652;;Automatic Measurement of the Total Visceral Adipose Tissue From Computed Tomography Images by Using a Multi-Atlas Segmentation Method;;Pierre Decazes,Alexandra Rouquette,Annaëlle Chetrit,Pierre Vera,Isabelle Gardin;2018;0.spi,1.spi.signal;Journal of Computer Assisted Tomography;Lippincott, Williams & Wilkins;42;;139-145;;;;;;;en;false
hal-01808769;1;https://hal-univ-rennes1.archives-ouvertes.fr/hal-01808769;ART;10.1242/dev.160879;;A targeted 3D EM and correlative microscopy method using SEM array tomography;;Agnes Burel,Marie-Thérèse Lavault,Clément Chevalier,Helmut Gnaegi,Sylvain Prigent,Antonio Mucciolo,Stéphanie Dutertre,Bruno M Humbel,Thierry Guillaudeux,Irina Kolotuev;2018;0.sdv,0.sdv,1.sdv.bdd;Development (Cambridge, England);Company of Biologists;145;;dev160879;Volume reconstruction,Array tomography,C elegans,Correlative light and electron microscopy CLEM,Drosophila,Model organisms;Volume reconstruction,Array tomography,C elegans,Correlative light and electron microscopy CLEM,Drosophila,Model organisms;;;;;en;false
hal-02976310;1;https://hal.archives-ouvertes.fr/hal-02976310;ART;10.1364/OPTICA.5.001516;;Ghost tomography;;Andrew. M. Kingston,Daniele Pelliccia,Alexander Rack,Margie P. Olbinado,Yin Cheng,Glenn R. Myers,David M. Paganin;2018;0.phys;Optica;Optical Society of America - OSA Publishing;5;;1516-1520;;;;;;;en;false
hal-02390956;1;https://hal.archives-ouvertes.fr/hal-02390956;ART;10.1007/s00432-018-2690-9;;The clinical usefulness of optical coherence tomography during cancer interventions;;Labrinus van Manen,Jouke Dijkstra,Claude Boccara,Emilie Benoit,Alexander Vahrmeijer,Michalina Gora,J Sven D Mieog,J. Sven D. Mieog;2018-10;0.sdv,1.sdv.can,0.spi,1.spi.opti,0.info,1.info.info-im;Journal of Cancer Research and Clinical Oncology;Springer Verlag;144;;1967-1990;Cancer,Image-guided surgery,Optical coherence tomography,Optical imaging,Tumor;Cancer,Image-guided surgery,Optical coherence tomography,Optical imaging,Tumor;;;;;en;false
hal-02116227;1;https://hal.archives-ouvertes.fr/hal-02116227;ART;10.1190/GEO2018-0112.1;;Matrix-free anisotropic slope tomography: Theory and application;;Borhan Tavakoli F.,Stéphane Operto,Alessandra Ribodetti,Jean Virieux;26/11/2018;0.sdu,1.sdu.stu;Geophysics;Society of Exploration Geophysicists;84;;R21-R43;;;;;;;en;false
hal-01875533;3;https://hal.inria.fr/hal-01875533v3;ART;;;Fast Personalized Electrophysiological Models from CT Images for Ventricular Tachycardia Ablation Planning;;Nicolas Cedilnik,Josselin Duchateau,Rémi Dubois,Frédéric Sacher,Pierre Jaïs,Hubert Cochet,Maxime Sermesant;23/11/2018;0.info,1.info.info-im,0.info,1.info.info-mo,0.sdv,1.sdv.mhep,2.sdv.mhep.csc;EP-Europace;Oxford University Press (OUP): Policy B;20;;;Electrophysiology,Sudden Cardiac Death,Computed Tomography,Computational Modelling,Catheter Ablation,Myocardial Infarction;Electrophysiology,Sudden Cardiac Death,Computed Tomography,Computational Modelling,Catheter Ablation,Myocardial Infarction;;;;;en;false
hal-01857508;1;https://hal-univ-bourgogne.archives-ouvertes.fr/hal-01857508;ART;10.1093/rheumatology/key019;;Gout misdiagnosis due to dual-energy computed tomography artefact;;André Ramon,Pierre Pottecher,Paul Ornetti;01/07/2018;0.sdv,1.sdv.mhep,2.sdv.mhep.rsoa;Rheumatology;Oxford University Press (OUP);57;;1234 - 1234;Computed tomography,Gout,Artifacts,Misdiagnosis;Computed tomography,Gout,Artifacts,Misdiagnosis;;;;;en;false
hal-02057747;1;https://hal.univ-brest.fr/hal-02057747;ART;10.3389/fmed.2018.00036;;Feasibility of Systematic Respiratory-Gated Acquisition in Unselected Patients Referred for 18F-Fluorodeoxyglucose Positron Emission Tomography/Computed Tomography;;Philippe Robin,David Bourhis,Brieuc Bernard,Ronan Abgral,Solène Querellou,Alexandra Le Duc-Pennec,Pierre-Yves Le Roux,Pierre-Yves Salaun;19/02/2018;0.sdv,0.sdv,1.sdv.mhep,0.sdv,1.sdv.ib,2.sdv.ib.mn;Frontiers in Medicine;Frontiers media;5;;;;;;;;;en;false
hal-01903012;1;https://hal.archives-ouvertes.fr/hal-01903012;ART;10.1007/s00170-018-2894-9;;Qualification of CT data for areal surface texture analysis;;Yann Quinsat,Jean Baptiste Guyon,Claire Lartigue;2018;0.spi,1.spi.meca,2.spi.meca.geme;International Journal of Advanced Manufacturing Technology;Springer Verlag;;;;;;;;;;en;true
hal-01950735;1;https://hal-iogs.archives-ouvertes.fr/hal-01950735;ART;10.1364/oe.26.033534;;Line-field confocal time-domain optical coherence tomography with dynamic focusing;;Arnaud Dubois,Olivier Levecq,Hicham Azimani,Arthur Davis,Jonas Ogien,David Siret,Anaïs Barut;2018;0.phys,1.phys.phys,2.phys.phys.phys-optics;Optics Express;Optical Society of America - OSA Publishing;26;;33534;;;;;;;en;false
hal-02973938;1;https://hal.archives-ouvertes.fr/hal-02973938;ART;10.1016/j.conbuildmat.2018.02.120;;Weathering assessment under X-ray tomography of building stones exposed to acid atmospheres at current pollution rate;;Soizic Gibeaux,Patricia Vázquez,Tim de Kock,Veerle Cnudde,Céline Thomachot-Schneider;2018-04;0.sdu,1.sdu.stu;Construction and Building Materials;Elsevier;168;;187-198;Atmospheric SO2/NOx pollution,Acid atmosphere,Acid rain,Building stones,Artificial stone,Porosity,High resolution X-ray computed tomography;Atmospheric SO2/NOx pollution,Acid atmosphere,Acid rain,Building stones,Artificial stone,Porosity,High resolution X-ray computed tomography;;;;;en;false
hal-02337676;1;https://hal.archives-ouvertes.fr/hal-02337676;ART;10.1007/s00330-018-5402-6;;Increased unenhanced bowel-wall attenuation: a specific sign of bowel necrosis in closed-loop small-bowel obstruction;;Camille Rondenet,Ingrid Millet,Lucie Corno,Isabelle Boulay-Coletta,Patrice Taourel,Marc Zins;2018;0.sdv;European Radiology;Springer Verlag;28;;4225--4233;Radiologists,Ischemia,Humans,Female,Male,Retrospective Studies,Sensitivity and Specificity,Adult,Aged,Middle Aged,80 and over,Young Adult,Tomography,X-Ray Computed,Research Design,Imaging,Contrast Media,Necrosis,Biometry,Helical computed tomography,Intestinal obstruction,Intestine,Small,Small intestine,Vascular Diseases;Radiologists,Ischemia,Humans,Female,Male,Retrospective Studies,Sensitivity and Specificity,Adult,Aged,Middle Aged,80 and over,Young Adult,Tomography,X-Ray Computed,Research Design,Imaging,Contrast Media,Necrosis,Biometry,Helical computed tomography,Intestinal obstruction,Intestine,Small,Small intestine,Vascular Diseases;;;;;en;false
hal-02080989;1;https://hal.archives-ouvertes.fr/hal-02080989;ART;10.3390/chemengineering2040052;;Demonstration of the Use of 3D X-ray Tomography to Compare the Uniformity of Catalyst Coatings in Open-Cell Foams;;Marie-Line Zanota,Stéphanie Pallier,Anaïs Dousse,Joël Lachambre,Valérie Meille;2018-12;0.spi,0.spi,1.spi.gproc,0.chim,1.chim.geni;ChemEngineering;MDPI AG;2;;52;Catalyst,Foams,Coating,Tomography,Image analysis;Catalyst,Foams,Coating,Tomography,Image analysis;;;;;en;false
hal-01765932;1;https://hal.archives-ouvertes.fr/hal-01765932;ART;10.1016/j.scriptamat.2016.12.034;;Atom probe tomography of nitride semiconductors;;L. Rigutti,B. Bonef,J. Speck,F. Tang,R.A. Oliver;2018-04;0.phys,1.phys.cond,2.phys.cond.cm-ms;Scripta Materialia;Elsevier;148;;75 - 81;Microwire,Gallium nitride,Atom probe tomography,Light emitting diode,High electron mobility transistor;Microwire,Gallium nitride,Atom probe tomography,Light emitting diode,High electron mobility transistor;;;;;en;false
hal-01814031;1;https://hal.archives-ouvertes.fr/hal-01814031;ART;10.1088/1748-0221/13/04/C04017;;Advances in 6d diffraction contrast tomography;;N. Vigano,Wolfgang Ludwig;11/04/2018;0.spi,1.spi.mat;Journal of Instrumentation;IOP Publishing;13;;;Computerized Tomography CT and Computed Radiography CR,Data processing methods,Inspection with x-rays,Data analysis;Computerized Tomography CT and Computed Radiography CR,Data processing methods,Inspection with x-rays,Data analysis;;;;;en;false
hal-02144350;1;https://hal.archives-ouvertes.fr/hal-02144350;ART;10.1167/iovs.17-22617;;A Deep Learning Approach to Digitally Stain Optical Coherence Tomography Images of the Optic Nerve Head;;Sripad Krishna Devalla,Khai Chin,Jean-Martial Mari,Tin Tun,Nicholas Strouthidis,Tin Aung,Alexandre Thiéry,Michaël Girard;01/01/2018;0.sdv,1.sdv.ib;Investigative Ophthalmology & Visual Science;Association for Research in Vision and Ophthalmology;59;;;Glaucoma,Artificial intelligence,Deep learning,Optic nerve head,Optical coherence tomography,Digital staining,Adaptive compensation;Glaucoma,Artificial intelligence,Deep learning,Optic nerve head,Optical coherence tomography,Digital staining,Adaptive compensation;;;;;en;false
hal-02067859;1;https://hal.archives-ouvertes.fr/hal-02067859;ART;10.1186/s40494-018-0229-7;;Novel characterization techniques for cultural heritage using a TEM orientation imaging in combination with 3D precession diffraction tomography: a case study of green and white ancient Roman glass tesserae;;Stavros Nicolopoulos,Partha P. Das,Fotini Bereciartua,Nikolaos Zacharias,Athanassios S. Perez,Edgar F. Rauch,Joaquim Arenal,Josep Roque-Rosell,Irene Kollia;2018;0.phys,1.phys.cond,2.phys.cond.cm-ms;Heritage Science;Springer;6;;;Roman glass tesserae,TEM,Electron crystallography,Precession electron diffraction,Electron diffraction tomography,Phase and orientation mapping at nm scale;Roman glass tesserae,TEM,Electron crystallography,Precession electron diffraction,Electron diffraction tomography,Phase and orientation mapping at nm scale;;;;;en;false
hal-02648419;1;https://hal.univ-angers.fr/hal-02648419;ART;10.1007/s13244-018-0633-2;;Burned bodies: post-mortem computed tomography\, an essential tool for modern forensic medicine;;Jean-Baptiste Coty,Cosmina Nedelcu,S Yahya,Vincent Dupont,Clotilde Rougé-Maillart,Marion Verschoore,Catherine Ridereau-Zins,Christophe Aubé;2018;0.sdv;Insights into Imaging;Springer;9;;731-743;Burned bodies,Post-mortem computed tomography,Thermal amputation,Thermal epidural haematoma;Burned bodies,Post-mortem computed tomography,Thermal amputation,Thermal epidural haematoma;;;;;en;false
inserm-02457362;1;https://www.hal.inserm.fr/inserm-02457362;ART;10.21037/jtd.2017.11.144;;Three-dimensional computed tomography reconstruction for operative planning in robotic segmentectomy: a pilot study;;Julien Le Moal,Christophe Peillon,Jean-Nicolas Dacher,Jean-Marc Baste;2018-01;0.sdv,1.sdv.mhep,2.sdv.mhep.psr;Journal of Thoracic Disease;AME Publishing Company;10;;196-201;Robotic surgery,Ground-glass nodules,Lung cancer,Segmentectomy,Three-dimensional computed tomography 3D CT reconstruction;Robotic surgery,Ground-glass nodules,Lung cancer,Segmentectomy,Three-dimensional computed tomography 3D CT reconstruction;;;;;en;false
hal-02006476;1;https://hal.archives-ouvertes.fr/hal-02006476;ART;10.1016/j.addr.2018.08.004;;Application of aptamers for in vivo Molecular Imaging and Theranostics;;Alix Bouvier-Müller,Frederic Duconge;2018;0.sdv,0.chim;Advanced Drug Delivery Reviews;Elsevier;;;;Biodistribution,Nanomedicine,SELEX,In vivo imaging,Imaging probes;Biodistribution,Nanomedicine,SELEX,In vivo imaging,Imaging probes;;;;;en;false
hal-01916293;1;https://hal.archives-ouvertes.fr/hal-01916293;ART;10.1016/j.ijfatigue.2018.08.019;;Casting defects in structural components: Are they all dangerous? A 3D study;;I. Serrano-Munoz,J.-Y. Buffiere,C. Verdu;2018;0.spi,1.spi.mat;International Journal of Fatigue;Elsevier;117;;471-484;Fatigue of materials,Fatigue testing,Location,Nucleation,Shrinkage,Surface defects,Tomography,X ray laboratories,Cast aluminium alloys,FE-simulation,High cycle fatigue,Surface pores,Synchrotron tomography,Cracks;Fatigue of materials,Fatigue testing,Location,Nucleation,Shrinkage,Surface defects,Tomography,X ray laboratories,Cast aluminium alloys,FE-simulation,High cycle fatigue,Surface pores,Synchrotron tomography,Cracks;;;;;en;false
